epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,44.2572,0.6340999903604966,0.6620428347827795,0.2768851332025311,0.4694639839926553,0.001
2,44.9037,0.45490388768587925,0.6757058436267689,0.31981555636451886,0.4977606999956439,0.001
3,44.8049,0.4149373170248298,0.6679841612368259,0.32595520421607377,0.4969696827264498,0.001
4,44.998,0.40307521450427153,0.6674607173798768,0.3222775609099475,0.49486913914491215,0.001
5,44.3219,0.36182614144428754,0.6707194463289168,0.27589573217480196,0.47330758925185934,0.001
6,46.0117,0.35459502295468204,0.6804519996338693,0.3198133415861111,0.5001326706099902,0.001
7,44.4854,0.33995979111786034,0.6835722128304841,0.32394916911045946,0.5037606909704717,0.001
8,44.4791,0.34673336390839066,0.6709967663790574,0.3243684710351377,0.4976826187070975,0.001
9,45.3454,0.3112067394247351,0.6803096576976656,0.3218361149662527,0.5010728863319591,0.001
10,45.1999,0.3057716637849808,0.6796037098361748,0.3254860746190226,0.5025448922275987,0.001
11,46.2346,0.303481815743816,0.6756346039863644,0.32696014587132066,0.5012973749288425,0.0005
12,44.6675,0.280048197496307,0.6809845723573804,0.3259558164180321,0.5034701943877062,0.0005
