epoch,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,0.11534670272635089,0.9498680738786279,0.9447439892357548,0.942615085666417,0.9472066768273342,0.0001,0.0005
2,0.10501288107285897,0.9525065963060686,0.9498894262799474,0.9456461449828157,0.9550235456003829,0.0001,0.0005
3,0.08367874727894863,0.9366754617414248,0.9303979867687376,0.9244248989530772,0.9395070908038685,0.0001,0.0005
4,0.06627677113024724,0.9538258575197889,0.9496974075028785,0.9476378053135697,0.9526866252775565,0.0001,0.0005
5,0.047370450845402146,0.9591029023746702,0.9563224730129132,0.9550019670846052,0.9581372968675067,0.0001,0.0005
6,0.05860036391661399,0.9564643799472295,0.9537843558393734,0.9522342936839134,0.9557241615307405,0.0001,0.0005
7,0.0706985634803358,0.9432717678100264,0.937723455742779,0.9326005874248968,0.9445079288526756,0.0001,0.0005
8,0.07026999238878488,0.9577836411609498,0.9547994983274627,0.9549822446877835,0.9547611734206448,0.0001,0.0005
9,0.038084825731089546,0.9538258575197889,0.9504958080232745,0.9448329709890924,0.9575531813158248,5e-05,0.00025
10,0.04670500673948684,0.9511873350923483,0.9477547715182645,0.944310400990414,0.9519598375123124,5e-05,0.00025
