phase,epoch,train_loss,val_accuracy,val_macro_f1,lrs
phase1,1,0.9939191937446594,0.5490196078431373,0.5208212217889636,0.00100000
phase1,2,0.6247562106166568,0.5196078431372549,0.4775998075998076,0.00100000
phase1,3,0.5153689937932151,0.5784313725490197,0.5618584779259761,0.00100000
phase1,4,0.49895617578710827,0.5882352941176471,0.5576033182503771,0.00100000
phase1,5,0.45344989533935276,0.6470588235294118,0.6140483749055179,0.00100000
phase1,6,0.645677809204374,0.6274509803921569,0.5747564313081555,0.00100000
phase1,7,0.5567840806075505,0.7058823529411765,0.6852821725162151,0.00100000
phase1,8,0.3979376235178539,0.7450980392156863,0.738454969470007,0.00100000
phase1,9,0.3905654230288097,0.7254901960784313,0.7132572044514596,0.00100000
phase1,10,0.2651820353099278,0.7941176470588235,0.7904516702327921,0.00100000
phase1,11,0.525475127356393,0.7058823529411765,0.6901787681098026,0.00100000
phase1,12,0.6256197041698864,0.7647058823529411,0.7611649611649611,0.00100000
phase1,13,0.4328984884279115,0.8137254901960784,0.8134629598044232,0.00100000
phase1,14,0.6231518270713943,0.7745098039215687,0.7638191626379554,0.00100000
phase1,15,0.521421916782856,0.8235294117647058,0.8107862868838478,0.00100000
phase1,16,0.49464396706649233,0.7745098039215687,0.7655244098587752,0.00100000
phase1,17,0.568017973431519,0.7549019607843137,0.7261661661661661,0.00050000
phase1,18,0.6035488641687802,0.803921568627451,0.7881888471750222,0.00050000
phase1,19,0.6404469715697425,0.8137254901960784,0.8029384325036499,0.00050000
phase1,20,0.5100896592651095,0.7647058823529411,0.7503547371613338,0.00050000
phase1,21,0.3145947584084102,0.8627450980392157,0.8547492804120587,0.00050000
phase1,22,0.4083631858229637,0.8627450980392157,0.8542116638676646,0.00050000
phase1,23,0.38784657205854145,0.7647058823529411,0.7414468808753296,0.00050000
phase1,24,0.4988131491201265,0.7254901960784313,0.7053946209852467,0.00050000
phase1,25,0.5935702914638179,0.9019607843137255,0.9013685879255929,0.00050000
phase1,26,0.4409050600869315,0.7647058823529411,0.7395574806499177,0.00050000
phase1,27,0.49327255359717775,0.7941176470588235,0.787683572073816,0.00050000
phase1,28,0.21521199494600296,0.8137254901960784,0.8004611754611755,0.00050000
phase1,29,0.49879057119999615,0.8431372549019608,0.8349470237778471,0.00025000
phase1,30,0.32656477444938253,0.8137254901960784,0.8059211428406474,0.00025000
phase2,1,0.5196709281631878,0.7647058823529411,0.7492799195158544,0.00010000|0.00100000
phase2,2,0.3383092513041837,0.803921568627451,0.7938054034029266,0.00010000|0.00100000
phase2,3,0.2773685061505863,0.8823529411764706,0.8801047388852267,0.00010000|0.00100000
phase2,4,0.40458080917596817,0.7450980392156863,0.7183298547371774,0.00010000|0.00100000
phase2,5,0.3920073743377413,0.7647058823529411,0.7458109833971903,0.00010000|0.00100000
phase2,6,0.37316336961729185,0.8823529411764706,0.8727964864592771,0.00010000|0.00100000
phase2,7,0.40053284061806543,0.8627450980392157,0.8554837410651365,0.00005000|0.00050000
phase2,8,0.46048386448196005,0.803921568627451,0.7893967845433973,0.00005000|0.00050000
phase2,9,0.5165295337459871,0.7549019607843137,0.7176046176046176,0.00005000|0.00050000
phase2,10,0.35360301392418997,0.7941176470588235,0.770294365304652,0.00005000|0.00050000
phase2,11,0.14195260179362126,0.8137254901960784,0.8019129512270025,0.00002500|0.00025000
