epoch,epoch_time_sec,train_loss,val_new_macro_f1,lr
1,9.895,0.23899251604225577,0.8544040513655272,0.0005
2,10.8206,0.23550626290280643,0.8915730193919935,0.0005
3,10.7958,0.22185772293951453,0.847874391540796,0.0005
4,11.0788,0.21918571068019402,0.8712861212861213,0.0005
5,10.7835,0.17725484363916444,0.9361412128962778,0.0005
6,11.0374,0.17806116164457508,0.7825083240843507,0.0005
7,10.7476,0.16650970034846446,0.7550794834697747,0.0005
8,10.5214,0.14931578588921848,0.8920425233210139,0.0005
9,10.7909,0.14425633961289394,0.8950091296409008,0.00025
10,11.0761,0.1187481375910887,0.8090758162700609,0.00025
