epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,36.5941,0.8991149301556024,0.5739784883497777,0.3588625137869851,0.4664205010683814,0.0005
2,32.2085,0.47891387224874715,0.5884298333901883,0.3792094420001397,0.483819637695164,0.0005
3,29.4486,0.441310779614882,0.6006202568049404,0.372783542039356,0.48670189942214814,0.0005
4,28.9972,0.3933105276558887,0.6074367742847181,0.31227547740593686,0.4598561258453275,0.0005
5,28.8819,0.3855207741937854,0.6123782463039114,0.3708946537333634,0.49163645001863737,0.0005
6,28.238,0.3380384849892421,0.608246348663825,0.37866946778711486,0.4934579082254699,0.0005
7,29.645,0.32885061915625224,0.6087184423574167,0.3785818681075336,0.49365015523247513,0.0005
8,28.5225,0.3341761100190607,0.63270253216318,0.2695170882724347,0.4511098102178073,0.0005
9,28.1422,0.302135703492571,0.6262432090095466,0.313904431613007,0.47007382031127676,0.0005
10,28.1157,0.3016423193568533,0.6241401242721032,0.3691730463124384,0.4966565852922708,0.0005
11,28.4224,0.273438459219919,0.6303121391937972,0.3814927401473428,0.50590243967057,0.0005
12,27.812,0.2898576385764913,0.6257665185953606,0.3858482389094634,0.505807378752412,0.0005
13,28.7615,0.2797484698451378,0.619440464050643,0.32151999812113957,0.4704802310858913,0.0005
14,27.7235,0.26903798448091204,0.6191793217668835,0.31906840068662534,0.4691238612267544,0.0005
15,28.6445,0.2738154829395088,0.630193142972492,0.3846780368952315,0.5074355899338617,0.0005
