epoch,epoch_time_sec,steps_per_epoch,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,23.2666,88,0.1115706133238167,0.9551451187335093,0.949965539528483,0.948637820544295,0.9513878317207368,0.0001,0.0005
2,24.864,88,0.11213129604319957,0.9577836411609498,0.951650318766524,0.9488798800607334,0.9552767883132358,0.0001,0.0005
3,25.4618,88,0.11249197036324238,0.9511873350923483,0.944197721434843,0.9428706911951721,0.9469718062591674,0.0001,0.0005
4,25.5472,88,0.10300787164173512,0.9538258575197889,0.9484319866567829,0.9474203618042736,0.9494959850034348,0.0001,0.0005
5,25.0627,88,0.10686650969596072,0.9538258575197889,0.9481352448688597,0.9481398620411241,0.9489578938141658,0.0001,0.0005
6,23.9897,88,0.10697135830890726,0.9577836411609498,0.9530185404880112,0.9530228985508403,0.9532657659930373,0.0001,0.0005
7,25.4364,88,0.08829096739646047,0.9551451187335093,0.9499379986316632,0.9479455574813584,0.9521299700855167,0.0001,0.0005
8,24.9557,88,0.09525185849898579,0.9485488126649076,0.9419802296565196,0.9394554376936496,0.9454154417101576,0.0001,0.0005
9,25.1276,88,0.09916994958819653,0.9393139841688655,0.9329871011444588,0.9282423763986694,0.9386292553165132,0.0001,0.0005
10,24.9079,88,0.08831582879859277,0.9498680738786279,0.9429584124500016,0.9401631328506472,0.9471991351447617,5e-05,0.00025
11,24.7196,88,0.09678931225789711,0.9538258575197889,0.9482952475389848,0.946542857402312,0.9502381233682147,5e-05,0.00025
