epoch,epoch_time_sec,steps_per_epoch,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,22.527,88,0.09442447373029692,0.9445910290237467,0.9409674619770229,0.9344882571564783,0.9522533141348319,0.0001,0.0005
2,24.74,88,0.08057720968711445,0.9564643799472295,0.9517370498039845,0.9468059107701052,0.9577343362092275,0.0001,0.0005
3,25.1702,88,0.07177364397846925,0.9604221635883905,0.9559000465860936,0.9538345026117424,0.9581281021298175,0.0001,0.0005
4,24.6052,88,0.06009329966036603,0.9485488126649076,0.9448896354084699,0.9412887614206342,0.9494599626472325,0.0001,0.0005
5,24.4939,88,0.05132852040696889,0.9577836411609498,0.9555005669664943,0.9518434387478847,0.9603756480732993,0.0001,0.0005
6,24.2369,88,0.048120865125714445,0.9617414248021108,0.9587251319836974,0.9551642054676035,0.9634126599632037,0.0001,0.0005
7,24.8708,88,0.04050604190640363,0.941952506596306,0.9397385801170174,0.9360510685123359,0.9472872613725405,0.0001,0.0005
8,25.4924,88,0.0445899711372807,0.9564643799472295,0.9525717906873767,0.9496732968762196,0.9567778676126004,0.0001,0.0005
9,26.0676,88,0.037157563551524865,0.9511873350923483,0.9474862337722618,0.9426870180344984,0.9542935582476385,0.0001,0.0005
10,26.0338,88,0.03742697174708486,0.9379947229551451,0.9355409258523586,0.9314636897662065,0.9447016011435914,5e-05,0.00025
11,23.5053,88,0.035865937012700175,0.9511873350923483,0.9466149282496605,0.942592736829388,0.9519692067773942,5e-05,0.00025
