epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,33.7684,0.5967790897596966,0.639674481731636,0.28818454600878046,0.4639295138702082,0.0005
2,32.7143,0.5898883207277819,0.6319828326893315,0.2990770305812475,0.46552993163528955,0.0005
3,32.5427,0.580864716829224,0.6407124079303032,0.2964886964886965,0.4686005522094998,0.0005
4,32.811,0.5689511607316408,0.632065804473347,0.300582199115992,0.4663240017946695,0.0005
5,32.8999,0.5645598830147223,0.6313197686888588,0.29584309210961585,0.46358143039923727,0.0005
6,32.4914,0.5401523993773893,0.6392353569281616,0.2997942710380795,0.46951481398312056,0.0005
7,32.6619,0.5506925220516595,0.6411414928051347,0.29474170668488414,0.4679415997450094,0.0005
8,32.7435,0.5580190941691399,0.6365655206141262,0.30503162573366005,0.4707985731738931,0.0005
9,32.8263,0.5234034051272002,0.6359544168297148,0.30673253352152435,0.4713434751756196,0.0005
10,32.7067,0.5474713309244676,0.636843468773601,0.30437005102090026,0.47060675989725065,0.0005
11,32.4217,0.5482293165881525,0.6390729407867716,0.30613750182023086,0.47260522130350124,0.0005
12,32.8379,0.5065052406015721,0.6453678908804827,0.3060146138844566,0.4756912523824697,0.0005
