epoch,epoch_time_sec,train_loss,val_new_macro_f1,lr
1,10.3587,0.3988415173641065,0.371261501995729,0.002
2,11.0163,0.30831793604827507,0.8810954850749405,0.002
3,11.4668,0.2826370046269603,0.8985370854305137,0.002
4,10.7604,0.29572745430760267,0.8985507246376812,0.002
5,10.7839,0.27847217423159903,0.5310217497159552,0.002
6,10.7678,0.2888000073229394,0.7969604652772969,0.002
7,11.4088,0.25579478355442603,0.8580052133351626,0.001
8,10.7693,0.22905007622590878,0.8315213200709384,0.001
9,10.8648,0.2054197085885013,0.9333243704257661,0.001
10,10.6176,0.1848907941361753,0.3390804597701149,0.001
11,10.386,0.18585667777352216,0.7342417722527692,0.001
12,10.8222,0.14747690509368733,0.9241014012049009,0.001
13,11.0023,0.15213602828997663,0.3390804597701149,0.0005
14,10.9974,0.1802030487849218,0.9623175742095933,0.0005
15,10.7917,0.13608580941288936,0.9565158937559344,0.0005
16,10.7153,0.11107783746428607,0.8816710111126356,0.0005
17,10.7522,0.10093369920987909,0.9178962398857686,0.0005
18,11.0891,0.10940517766810046,0.3390804597701149,0.00025
19,10.9982,0.10428616122865095,0.5956399437412095,0.00025
