epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.2789451394762312,2.02309706764936e-06,0.8137254901960784,0.7946819375047122,0.0001,0.0005
2,0.27189321177346365,3.4671530621770737e-06,0.8235294117647058,0.8111281109751122,0.0001,0.0005
3,0.2485716449362891,3.873818286592723e-06,0.8333333333333334,0.8139358190067378,0.0001,0.0005
4,0.26318806409835815,3.868369503834401e-06,0.803921568627451,0.7853677887157386,0.0001,0.0005
5,0.19269461078303202,4.074575761998338e-06,0.8235294117647058,0.8107862868838479,0.0001,0.0005
6,0.25083779650075094,3.972721450346788e-06,0.8725490196078431,0.8646597967250141,0.0001,0.0005
7,0.21997985243797302,3.824689364202121e-06,0.8627450980392157,0.858167723749119,0.0001,0.0005
8,0.18172144889831543,3.86341902672679e-06,0.8235294117647058,0.811960357533969,0.0001,0.0005
9,0.23883953903402602,3.92453375752666e-06,0.8431372549019608,0.8315393963163353,0.0001,0.0005
10,0.18029048613139562,3.92920316828947e-06,0.8823529411764706,0.8771357189294529,0.0001,0.0005
11,0.16380075258868082,3.965200643766106e-06,0.8725490196078431,0.868912894575673,0.0001,0.0005
12,0.16868859103747777,3.978096564034266e-06,0.8627450980392157,0.858228490070732,0.0001,0.0005
