epoch,epoch_time_sec,train_loss,val_new_macro_f1,lr
1,10.0897,0.498511618230401,0.8780303030303029,0.0005
2,12.2121,0.3614652182270841,0.8711375212224108,0.0005
3,10.944,0.32214463665717985,0.85987950991674,0.0005
4,11.6867,0.33203534745588537,0.8808350393004272,0.0005
5,11.2764,0.29449185874403977,0.8927536231884058,0.0005
6,12.0485,0.28048583901510005,0.8664770815103991,0.0005
7,11.6459,0.2850328983693588,0.8184038174460044,0.0005
8,11.4584,0.257996909138633,0.8315213200709384,0.0005
9,11.6033,0.24814599861459033,0.8440658019290301,0.00025
10,12.1723,0.22699618939219451,0.7897994684279772,0.00025
