epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,35.8517,0.387996924040485,0.6163311675924971,0.3911907962500655,0.5037609819212813,0.001
2,36.3247,0.1601903851890613,0.6323688398761872,0.31822490024274513,0.4752968700594662,0.001
3,36.0169,0.11331102083444841,0.6529561985007206,0.39119193461625223,0.5220740665584864,0.001
4,35.9483,0.08387925207599504,0.6640802316292664,0.3887275472758239,0.5264038894525451,0.001
5,35.9578,0.07427320936848679,0.6760960816828353,0.3843843843843844,0.5302402330336098,0.001
6,36.6499,0.07414737852022805,0.6530216815522442,0.3887205030380104,0.5208710922951273,0.001
7,36.9996,0.04861588200865975,0.6773748426494036,0.38155683122847306,0.5294658369389383,0.001
8,36.0155,0.061565299487618866,0.6693053166307682,0.38816869967312445,0.5287370081519464,0.001
9,36.6613,0.045119974473808805,0.6772378136658478,0.33138835964434765,0.5043130866550978,0.0005
10,36.4771,0.03503980376990512,0.6708493308727885,0.3929808068938504,0.5319150688833194,0.0005
11,36.1399,0.025653397283432158,0.661877276698941,0.38687630098764336,0.5243767888432922,0.0005
12,36.0393,0.02997559070594855,0.6701973686609696,0.3910873690869473,0.5306423688739584,0.0005
13,36.8002,0.018666040764453874,0.6493646062328163,0.3767843782732306,0.5130744922530235,0.0005
14,37.0144,0.023969238032639787,0.668753948522913,0.3923221168871757,0.5305380327050444,0.00025
15,35.9929,0.021076920621716688,0.666906896367219,0.3947749416769589,0.530840919022089,0.00025
