epoch,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,0.13566678617563513,0.924802110817942,0.9131665116658245,0.908232146150208,0.9233905885700766,0.0001,0.0005
2,0.08564523768921693,0.9340369393139841,0.9293016350504375,0.9236951314179038,0.9389047345278476,0.0001,0.0005
3,0.08373247356050545,0.9432717678100264,0.9346606915190554,0.9307800174238899,0.9399654028613365,0.0001,0.0005
4,0.06932166057328383,0.9432717678100264,0.9371947763243579,0.9316976665814387,0.9443009915523616,0.0001,0.0005
5,0.04247524347932388,0.9485488126649076,0.940576183837047,0.9363487098425827,0.9463674075000548,0.0001,0.0005
6,0.04614606543651058,0.9577836411609498,0.9530994788604229,0.9519181286549706,0.9547544793797839,0.0001,0.0005
7,0.053425593451700275,0.9525065963060686,0.9434611289921438,0.9394442737668545,0.9491898742575293,0.0001,0.0005
8,0.06542412462359708,0.9485488126649076,0.9425970764465298,0.9378787878787879,0.9490331297660471,0.0001,0.0005
9,0.04144744714204636,0.9538258575197889,0.9464395542374836,0.9455533723737608,0.948223082231376,0.0001,0.0005
10,0.0488568980143302,0.9472295514511874,0.9407165419961121,0.9369997141223557,0.9457390942897298,5e-05,0.00025
11,0.028377260591110422,0.9564643799472295,0.9489327880818941,0.9470729619069923,0.951801599798632,5e-05,0.00025
