epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.21160108968615532,,0.8431372549019608,0.8125926083372891,0.0001,0.0005
2,0.20729697535612754,,0.8823529411764706,0.8775130774563559,0.0001,0.0005
3,0.16891018114984035,,0.9019607843137255,0.8968891573542737,0.0001,0.0005
4,0.16514594507004535,,0.8725490196078431,0.861458748184711,0.0001,0.0005
5,0.11361412624163288,,0.9019607843137255,0.8951941012916622,0.0001,0.0005
6,0.131423489057592,,0.9019607843137255,0.8951941012916622,0.0001,0.0005
7,0.13395047547029598,,0.9019607843137255,0.8992170949617758,0.0001,0.0005
8,0.13152099706764733,,0.9313725490196079,0.9297694553508506,0.0001,0.0005
9,0.1398707457951137,,0.9411764705882353,0.9407644224433789,0.0001,0.0005
10,0.10576548453952585,,0.9117647058823529,0.9072586328400283,0.0001,0.0005
11,0.12465942837297916,,0.9509803921568627,0.9514285714285714,0.0001,0.0005
12,0.10148856190166303,,0.9411764705882353,0.9396354087764479,0.0001,0.0005
