label,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9842767295597484,0.9811912225705329,0.9827315541601256,319.0
Tomato___Early_blight,0.8963414634146342,0.98,0.9363057324840764,150.0
Tomato___Late_blight,0.9782608695652174,0.9440559440559441,0.9608540925266904,286.0
Tomato___Leaf_Mold,0.9716312056737588,0.958041958041958,0.9647887323943662,143.0
Tomato___healthy,1.0,0.99581589958159,0.9979035639412998,239.0
macro avg,0.9661020536426719,0.9718210048500051,0.9685167351013118,1137.0
weighted avg,0.972877192039362,0.9718557607739666,0.9720362679214513,1137.0
