epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.26826357202870504,1.341425542835038e-06,0.8627450980392157,0.8563199779989343,0.0001,0.0005
2,0.25827642423766,2.603400292043391e-06,0.8431372549019608,0.8323649696390012,0.0001,0.0005
3,0.28913701112781254,3.26460365483529e-06,0.8725490196078431,0.8679568640544251,0.0001,0.0005
4,0.21328343451023102,3.395939821919975e-06,0.8823529411764706,0.8777144264949144,0.0001,0.0005
5,0.2583042574780328,3.5450551162544538e-06,0.8823529411764706,0.8777144264949144,0.0001,0.0005
6,0.21299084169524057,3.956700019054031e-06,0.8431372549019608,0.8332430689877499,0.0001,0.0005
7,0.1681068709918431,4.190220481957242e-06,0.8725490196078431,0.8637081453871017,0.0001,0.0005
8,0.19356261513062886,4.062819048808056e-06,0.8627450980392157,0.8581045826231962,5e-05,0.00025
9,0.1957194060087204,4.12012936327041e-06,0.8627450980392157,0.8581045826231962,5e-05,0.00025
10,0.15308298809187754,3.7205878860342116e-06,0.8725490196078431,0.8659831603450435,5e-05,0.00025
11,0.17435685119458608,3.5742083192807125e-06,0.8823529411764706,0.8777144264949144,5e-05,0.00025
12,0.17455220541783742,3.4354376826481063e-06,0.8823529411764706,0.8777144264949144,2.5e-05,0.000125
