epoch,epoch_time_sec,train_loss,val_new_macro_f1,lr
1,9.7475,0.39884207088772844,0.371261501995729,0.002
2,11.0684,0.3083116241344592,0.8810954850749405,0.002
3,11.9327,0.28240055609040143,0.895651297217368,0.002
4,11.092,0.29482551427876075,0.9014484473719586,0.002
5,12.1475,0.27627197616710897,0.573311302179699,0.002
6,11.8621,0.2878643710438798,0.8190782403865167,0.002
7,11.35,0.26318361955444985,0.9013091472033385,0.002
8,10.96,0.2455063529494332,0.8952641165755919,0.001
9,11.5109,0.20318865012831805,0.9361412128962778,0.001
10,12.1353,0.18721846491098404,0.8507062244686008,0.001
11,11.5386,0.1816112491779211,0.8159461692021752,0.001
12,11.4713,0.1423179499986695,0.9215704434658876,0.001
13,12.2327,0.15668119103988495,0.3390804597701149,0.0005
14,11.5526,0.17862960773452027,0.790988714256041,0.0005
