epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.13396917505619618,,0.8921568627450981,0.8856702917678527,5e-05,0.0002
2,0.1341589746566919,,0.8431372549019608,0.8337028824833703,5e-05,0.0002
3,0.08558058050962594,,0.8823529411764706,0.8737611762431594,5e-05,0.0002
4,0.08344112393947747,,0.9117647058823529,0.906810262907824,5e-05,0.0002
5,0.10240469285501884,,0.9117647058823529,0.9066089138692656,5e-05,0.0002
6,0.0703914023649234,,0.9019607843137255,0.8976958630957498,5e-05,0.0002
7,0.09556191013409542,,0.9019607843137255,0.8976958630957498,5e-05,0.0002
8,0.1109177699455848,,0.9117647058823529,0.9076479076479076,5e-05,0.0002
9,0.08024841998345576,,0.8823529411764706,0.8774447568820072,5e-05,0.0002
10,0.07623863757516329,,0.9019607843137255,0.8973065882878701,5e-05,0.0002
11,0.07716618886647317,,0.9019607843137255,0.8948048264837828,5e-05,0.0002
12,0.07480205351916644,,0.9215686274509803,0.9188184364654953,5e-05,0.0002
