epoch,epoch_time_sec,train_total_loss,train_ce_loss,train_ewc_penalty,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,14.9941,0.12066510733630922,0.11858932221722272,6.919283596257881e-07,0.9591029023746702,0.95072043768315,0.9474205822202972,0.9548413934354901,5e-05,0.0002
2,14.7941,0.08531620200309488,0.08120536094324457,1.3702802107218303e-06,0.9406332453825857,0.9321713156871315,0.9283684418673801,0.9383858631249762,5e-05,0.0002
3,14.3841,0.06502582201113304,0.05945479829485218,1.8570077094813719e-06,0.9498680738786279,0.9410338324599568,0.935972544410042,0.9483618421510309,5e-05,0.0002
4,13.657,0.059287040659950836,0.052977803039054076,2.1030793302795954e-06,0.9511873350923483,0.9431366075989285,0.9380412645978407,0.9505725833674028,5e-05,0.0002
5,13.5825,0.07118852097127172,0.06417959435946412,2.336308807571186e-06,0.9472295514511874,0.9408639323129606,0.9348270188518228,0.9516809189152813,2.5e-05,0.0001
6,14.5414,0.05185848671115107,0.04428401437277595,2.524824155140474e-06,0.9511873350923483,0.9432332385187138,0.9383764489995915,0.9503618421510309,2.5e-05,0.0001
