epoch,epoch_time_sec,train_loss,val_new_macro_f1,lr
1,10.2249,0.39884279741019735,0.371261501995729,0.002
2,10.8111,0.30832493923059323,0.8810954850749405,0.002
3,10.6683,0.2824611792840609,0.8985507246376812,0.002
4,10.6373,0.2949144538582825,0.9014484473719586,0.002
5,10.7502,0.27639766073808436,0.5778400568406095,0.002
6,10.5085,0.2870850973739857,0.9042319630554925,0.002
7,10.6751,0.26201891790076,0.8921410404819643,0.002
8,10.6117,0.24777917218644444,0.8681293479091812,0.002
9,10.3304,0.2108701362115581,0.7338663568958789,0.002
10,10.26,0.22949022917849263,0.866261039573923,0.001
11,10.8798,0.19434007547977494,0.6663808203182018,0.001
