epoch,epoch_time_sec,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_adapter
1,17.9773,0.13594071254548099,0.9432717678100264,0.9358977397210649,0.9301189608514104,0.9443980141370117,0.0005
2,14.9667,0.09326950347878867,0.9406332453825857,0.9322428411831971,0.9264112896388248,0.9409294112854196,0.0005
3,14.9708,0.10000716248113248,0.9379947229551451,0.9297638208244937,0.9234995681979801,0.939896203311573,0.0005
4,14.5853,0.10871438957336876,0.9353562005277045,0.9271160290846263,0.9206468058597149,0.9384386227801794,0.0005
5,14.6974,0.10618911627680064,0.941952506596306,0.9342255065228168,0.928098541272276,0.9439875540244662,0.00025
6,13.957,0.11045478090850844,0.9445910290237467,0.9366308651634512,0.9308021026963283,0.9459736415794646,0.00025
7,14.7998,0.08801197575715682,0.9432717678100264,0.9348707334700904,0.9292592148197031,0.9438683784215698,0.00025
8,14.6031,0.1190380715765059,0.9445910290237467,0.9368571021531924,0.9309466991723709,0.9460817948621625,0.00025
9,14.9028,0.09165635882980294,0.9432717678100264,0.9352135025577386,0.929262572454651,0.9441928382696638,0.00025
10,14.4982,0.08762825510154168,0.941952506596306,0.9334784867772342,0.9272823820414946,0.9431457178508154,0.00025
11,13.9671,0.09325867771274514,0.945910290237467,0.937654252658254,0.9317064444988972,0.94628707910736,0.00025
12,14.0176,0.084960127218316,0.9472295514511874,0.9389561199649179,0.9332298409927571,0.9472260462435103,0.00025
