phase,epoch,epoch_time_sec,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_groups
phase1,1,24.3263,0.7352023744181301,0.6411609498680739,0.5755608945923285,0.722077837511969,0.613996369879052,0.00080000
phase1,2,25.6189,0.4750815804085035,0.8126649076517151,0.7784002855486265,0.7985722093349212,0.8018935957990987,0.00080000
phase1,3,25.7917,0.4148786377705885,0.899736147757256,0.878203880413337,0.8753384140586874,0.8866701853829964,0.00080000
phase1,4,25.0973,0.3431414445297102,0.8878627968337731,0.8607080409984083,0.8590847857816405,0.8731221679299643,0.00080000
phase1,5,24.3916,0.3590382421284579,0.8878627968337731,0.8700414162368759,0.8681465209346172,0.8836914966422029,0.00080000
phase1,6,24.4534,0.33645790806981957,0.866754617414248,0.8380684331148727,0.8531809277381173,0.8533097770660316,0.00080000
phase1,7,23.783,0.3101222428043237,0.862796833773087,0.8374534778276956,0.8443830717375811,0.8568330075285259,0.00040000
phase1,8,25.507,0.25547919673531244,0.866754617414248,0.8486249948437203,0.844917662770994,0.8713279644801851,0.00040000
phase1,9,26.6696,0.24476653520603864,0.8799472295514512,0.8765333897101506,0.8928077268644273,0.8881786335950196,0.00040000
phase2,1,26.9894,0.31123091288831795,0.9102902374670184,0.8898968891465584,0.8940601254095318,0.8939890059947352,0.00005000|0.00050000
phase2,2,27.05,0.2757433182402943,0.8759894459102903,0.8495731886752136,0.8574718550973612,0.8647457289424585,0.00005000|0.00050000
phase2,3,25.1405,0.2624047346245707,0.9195250659630607,0.9045796578961933,0.9001307366897665,0.9141246608890045,0.00005000|0.00050000
phase2,4,25.2518,0.2138677720985051,0.8918205804749341,0.876946615357693,0.8724102922643098,0.8928974893709768,0.00005000|0.00050000
phase2,5,24.5251,0.20386720176660614,0.9089709762532981,0.9012331317951041,0.8955264856271888,0.9139433461626834,0.00005000|0.00050000
phase2,6,24.9537,0.17088579055800868,0.9221635883905013,0.9105074831969668,0.9052460748771844,0.9221348759406812,0.00005000|0.00050000
phase2,7,24.092,0.1670093931090296,0.9023746701846965,0.8796975217198748,0.885201790851536,0.8895966782286793,0.00005000|0.00050000
phase2,8,26.282,0.15907505895482021,0.924802110817942,0.9128483301021069,0.9050548840380996,0.9264740555022982,0.00005000|0.00050000
phase2,9,25.3436,0.14226969300110018,0.9327176781002638,0.9208817728691947,0.9157601116707479,0.9282956411039202,0.00005000|0.00050000
phase2,10,25.6775,0.12342903488891178,0.9142480211081794,0.8990276051782817,0.8951328477756156,0.9121614656161142,0.00005000|0.00050000
phase2,11,25.3666,0.13214582450206527,0.9327176781002638,0.9202906007853464,0.9162969098457674,0.9281899481448604,0.00005000|0.00050000
phase2,12,25.1896,0.12624259254361472,0.9353562005277045,0.924768106864571,0.9177712648428681,0.9361096197521658,0.00005000|0.00050000
phase2,13,25.9395,0.10678043711428227,0.920844327176781,0.9106108465874726,0.9045375335815866,0.9211035377776501,0.00005000|0.00050000
phase2,14,24.2174,0.10490382998512032,0.9261213720316622,0.914833185414874,0.9091387678180833,0.9240255958212625,0.00005000|0.00050000
phase2,15,24.1549,0.10237370954114902,0.9221635883905013,0.9122913966419455,0.9055669456486701,0.9252227133805466,0.00005000|0.00050000
phase2,16,25.1678,0.10734542326352904,0.9353562005277045,0.9241277089762967,0.9189237433781188,0.9329320865096404,0.00005000|0.00050000
phase2,17,24.9726,0.09552052807523294,0.9445910290237467,0.933710015987662,0.929106235643346,0.9407859998079955,0.00005000|0.00050000
phase2,18,25.1736,0.08902760767220949,0.9221635883905013,0.9108787076806213,0.9038591836614863,0.9242651822416255,0.00005000|0.00050000
phase2,19,25.04,0.07986058357558894,0.9353562005277045,0.9306429505965437,0.9266922018470005,0.9416286303131722,0.00005000|0.00050000
phase2,20,24.4454,0.08003891369830189,0.945910290237467,0.9356538738505839,0.9350121763182422,0.9380244920270394,0.00005000|0.00050000
phase2,21,25.3565,0.09538654951912383,0.9379947229551451,0.9254475294506891,0.926060351109203,0.9277139446239474,0.00005000|0.00050000
phase2,22,23.4476,0.10200863654903147,0.9432717678100264,0.9303372414436705,0.9307900105540761,0.935190788048784,0.00005000|0.00050000
phase2,23,24.8342,0.08355523902253154,0.9221635883905013,0.9090366471549644,0.9034375913611438,0.9227982343002663,0.00005000|0.00050000
phase2,24,24.1532,0.06533041580192996,0.9551451187335093,0.9455901828517421,0.9446114808966953,0.9482129737024321,0.00005000|0.00050000
phase2,25,25.3677,0.07879179370265162,0.9313984168865436,0.9241879807295927,0.9189564765300059,0.9311913674797274,0.00005000|0.00050000
phase2,26,24.69,0.06653725408708279,0.9366754617414248,0.930057500915213,0.9237340377571147,0.9432002389389847,0.00005000|0.00050000
phase2,27,25.0081,0.06979683643792954,0.9234828496042217,0.9122440495438191,0.9065156813836058,0.9242592293197427,0.00005000|0.00050000
phase2,28,25.1456,0.06146062445680328,0.9366754617414248,0.9265553952414989,0.920661419342428,0.9355689617165254,0.00005000|0.00050000
phase2,29,25.3054,0.05017887570194147,0.9313984168865436,0.9169385522015727,0.9165577666859619,0.9241833624818488,0.00005000|0.00050000
phase2,30,25.4929,0.050539662334230843,0.9300791556728232,0.9168839225659415,0.9127240199521005,0.9270503483212821,0.00002500|0.00025000
