phase,epoch,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_groups
phase1,1,0.7149301589874739,0.6398416886543535,0.5754641880555705,0.7228995130233679,0.6144400053300421,0.00100000
phase1,2,0.4729743305217014,0.8087071240105541,0.7728219496708979,0.801579432576073,0.7996993338740997,0.00100000
phase1,3,0.4133601894371965,0.899736147757256,0.881316339563797,0.8757267413604908,0.893556649016455,0.00100000
phase1,4,0.33050767206743864,0.8759894459102903,0.8431182183574201,0.8500507944465812,0.8570334924412919,0.00100000
phase1,5,0.36003399899836336,0.8825857519788918,0.8647765699393993,0.8654579472168678,0.8812977307216127,0.00100000
phase1,6,0.32783744387914626,0.8746701846965699,0.8493794009731486,0.8582571308971157,0.8646757919839494,0.00100000
phase1,7,0.30549201670657383,0.8707124010554089,0.8447872479810977,0.8502568497393954,0.8631101646925909,0.00050000
phase1,8,0.24405096257837972,0.8720316622691293,0.8562195396983473,0.8512909101819286,0.8782698217411384,0.00050000
phase2,1,0.35787709720767613,0.8799472295514512,0.8634050917719568,0.8905766268519306,0.8688932814301072,0.00010000|0.00100000
phase2,2,0.24869042576363917,0.9116094986807388,0.8913285860215726,0.9008540063323526,0.8958833130356755,0.00010000|0.00100000
phase2,3,0.21919742992587304,0.8984168865435356,0.8766013887427698,0.8783562756539076,0.889009995830626,0.00010000|0.00100000
phase2,4,0.20941785900864038,0.9340369393139841,0.9195403992099461,0.9170818256132348,0.9260550986639965,0.00010000|0.00100000
phase2,5,0.17787731933836523,0.9010554089709762,0.8857382770448314,0.8829791550039229,0.8987410130902622,0.00010000|0.00100000
phase2,6,0.16257898012448227,0.8984168865435356,0.8961504062402245,0.8911697311205792,0.9127920260069736,0.00010000|0.00100000
phase2,7,0.13333220635488463,0.924802110817942,0.9168814582607686,0.9126025392901574,0.9270877555218331,0.00010000|0.00100000
phase2,8,0.1268828523847578,0.9182058047493403,0.9011322121112538,0.9006279046953367,0.9099959011204438,0.00010000|0.00100000
phase2,9,0.11489779312749591,0.9379947229551451,0.926791639535114,0.9194748745861165,0.9389442375216758,0.00010000|0.00100000
phase2,10,0.11327246479491253,0.9564643799472295,0.9472044278257965,0.9440864782617802,0.9511576127103393,0.00010000|0.00100000
phase2,11,0.08916038336504377,0.9353562005277045,0.9230493914332488,0.9206653989782951,0.9308211514799887,0.00010000|0.00100000
phase2,12,0.10899770158091875,0.945910290237467,0.9339057347683685,0.9305357632154676,0.9404587582129478,0.00010000|0.00100000
phase2,13,0.08659143198616384,0.9445910290237467,0.9338422784865944,0.9329157076944687,0.9385613461466219,0.00010000|0.00100000
phase2,14,0.07370949646960316,0.9287598944591029,0.9202175082370507,0.9144508152940325,0.9301409675081012,0.00010000|0.00100000
phase2,15,0.0724675085897861,0.9234828496042217,0.9129528340876554,0.9064536648684227,0.9256373952496965,0.00010000|0.00100000
phase1,1,0.7247229198391518,0.6068601583113457,0.5208377816556513,0.7411575432334496,0.5881803908783831,0.00100000
phase1,2,0.4779835580272621,0.8100263852242744,0.7925931358898701,0.812228955625366,0.805098596724094,0.00100000
phase1,3,0.3896758360474297,0.8680738786279684,0.8361472932098952,0.8516175940072997,0.8456776944301669,0.00100000
phase1,4,0.36494065913256635,0.8825857519788918,0.8585940440487109,0.8586931941264261,0.8729381210566419,0.00100000
phase1,5,0.3410715470823009,0.8905013192612137,0.8709864195273713,0.8684683509063952,0.8860307845816692,0.00100000
phase1,6,0.30568025662992776,0.9010554089709762,0.8779588739348606,0.887705454666919,0.8825118392914666,0.00100000
phase1,7,0.32041072619430133,0.899736147757256,0.8840887203616845,0.8776161190281663,0.9000189549929491,0.00100000
phase1,8,0.31969270135244626,0.8654353562005277,0.8411386751942217,0.8481552571709422,0.8608253996964101,0.00100000
phase1,9,0.24815408056706525,0.9010554089709762,0.8872008746308108,0.8804507024401964,0.8974708636525858,0.00100000
phase1,10,0.27859166373362704,0.8852242744063324,0.8735648708663769,0.8752276653170288,0.887535706315165,0.00100000
phase1,11,0.22410777073060528,0.8970976253298153,0.8807052033775769,0.8755535251186546,0.8964446591822973,0.00100000
phase1,12,0.23683805176674316,0.9076517150395779,0.8924304926020972,0.8901450817968065,0.8961259383318809,0.00100000
phase1,13,0.2181414361582713,0.8812664907651715,0.8648434245769879,0.8603643899204243,0.8834559702904095,0.00100000
phase1,14,0.25100878387522163,0.8852242744063324,0.8699756624687254,0.8652336147808783,0.8875769091813883,0.00100000
phase1,15,0.2105532760491197,0.8918205804749341,0.8769142882371648,0.873460587604104,0.8901231959817398,0.00100000
phase2,1,0.23471395989482322,0.924802110817942,0.9152942244200137,0.9099150947284814,0.9238198937355186,0.00010000|0.00100000
phase2,2,0.21872733910097164,0.9195250659630607,0.9093099826878506,0.9023128283494136,0.920390031571395,0.00010000|0.00100000
phase2,3,0.19338243703745053,0.8825857519788918,0.8759267416410106,0.8761420959974074,0.8962632342230105,0.00010000|0.00100000
phase2,4,0.15125264415747663,0.895778364116095,0.8838301548720733,0.8784094639187243,0.9051508817136081,0.00010000|0.00100000
phase2,5,0.1259072602757912,0.9379947229551451,0.9271370340604385,0.9210471763219917,0.937362938207466,0.00010000|0.00100000
phase2,6,0.12811708716633782,0.9472295514511874,0.9406406435409777,0.937804251681617,0.9441635752251262,0.00010000|0.00100000
phase2,7,0.13556613514639354,0.9221635883905013,0.9114612261748292,0.907422454863228,0.91867451551745,0.00010000|0.00100000
