epoch,epoch_time_sec,train_loss,val_new_macro_f1,lr
1,10.0545,0.39884809895259576,0.371261501995729,0.002
2,10.8205,0.30831644702248456,0.8810954850749405,0.002
3,10.9988,0.28260291912933677,0.8985370854305137,0.002
4,10.6787,0.29566068947315216,0.8985507246376812,0.002
5,10.8839,0.2778928098155231,0.5310217497159552,0.002
6,11.1339,0.2888932104517774,0.7611829134720701,0.002
7,11.1674,0.25244993625617607,0.8062886019090398,0.001
8,11.0547,0.22400171982079017,0.8284229661133214,0.001
9,10.6368,0.20311838461131584,0.9186868686868688,0.001
10,10.8352,0.1872817098004062,0.3390804597701149,0.001
11,11.138,0.18511828235009822,0.6738181818181819,0.001
12,11.1199,0.15228987248932443,0.8881170205502833,0.001
13,11.2015,0.15030264933934298,0.3390804597701149,0.0005
14,10.9005,0.177193834741668,0.9681159420289855,0.0005
15,11.221,0.1376078934749452,0.9767879970396286,0.0005
16,11.1116,0.11200900148691201,0.9738700148953539,0.0005
17,11.0848,0.0999637341535673,0.6895323270463591,0.0005
18,11.3088,0.109085780091402,0.3390804597701149,0.0005
19,11.164,0.11306763485800929,0.34564844575179726,0.00025
20,10.9505,0.10210001741240664,0.8499501112901988,0.00025
