epoch,train_total_loss,train_ce_loss,train_ewc_penalty,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,0.12179508804757562,0.1215581939710925,7.89640606689722e-07,0.9604221635883905,0.9525366862861505,0.949983105452009,0.9556777726379664,5e-05,0.0002
2,0.08152492067052258,0.08093034892032544,1.98190832129007e-06,0.9538258575197889,0.9483794739758107,0.9456579223640305,0.9522397764233312,5e-05,0.0002
3,0.06350567044897212,0.06262898365449575,2.9222895439791805e-06,0.9538258575197889,0.9460872883187118,0.9417568113400486,0.9519246858403193,5e-05,0.0002
4,0.05679637127452426,0.05568598888090087,3.70127594477607e-06,0.9498680738786279,0.9416649215495859,0.937485200845666,0.9475144406283562,5e-05,0.0002
5,0.0671215440457066,0.06580657459691995,4.3832317209712026e-06,0.9472295514511874,0.9399139285469765,0.9345454545454546,0.9488251702966289,2.5e-05,0.0001
6,0.046687612320399946,0.045230690602006185,4.856405808418963e-06,0.9538258575197889,0.9454034683328534,0.940799806208257,0.9518194226824244,2.5e-05,0.0001
