epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,44.2509,0.7952934646791265,0.6554526558671849,0.2197494360989291,0.43760104598305705,0.001
2,44.1576,0.6744148886018946,0.6560226588626497,0.2208976433900446,0.4384601511263471,0.001
3,43.8723,0.6380002325357392,0.6408888010988364,0.26391131080730196,0.4524000559530692,0.001
4,43.5283,0.6339468579421672,0.6462756795826257,0.2473585120949338,0.4468170958387797,0.001
5,44.0162,0.5724959592948589,0.6437555193072102,0.29147793146215856,0.46761672538468435,0.001
6,44.3004,0.5408716945685157,0.6443073804127429,0.2849679386103227,0.4646376595115328,0.001
7,43.9587,0.528881004960962,0.6519642052485455,0.2998065062679443,0.47588535575824487,0.001
8,43.7727,0.5467267864665319,0.6545899908580185,0.2981535490612331,0.4763717699596258,0.001
9,43.0156,0.4850599869739178,0.6491574989346371,0.30547885667535923,0.4773181778049982,0.001
10,43.9902,0.46582146624262016,0.658882251926589,0.30660633484162897,0.48274429338410896,0.001
11,44.1927,0.4932338113701621,0.6579754536507061,0.2959276710724221,0.4769515623615641,0.001
12,43.8874,0.45908408941224566,0.6512042178304867,0.30679465462074157,0.47899943622561414,0.001
13,43.7732,0.4382022403238356,0.6602396043136373,0.3072462669597514,0.48374293563669435,0.001
14,43.7271,0.45289663277393166,0.6335482939311899,0.30456001220070156,0.4690541530659458,0.001
15,43.8161,0.43993111601633617,0.6593752874081354,0.3130137260517814,0.48619450672995845,0.001
