epoch,epoch_time_sec,train_total_loss,train_ce_loss,train_ewc_penalty,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,13.8978,0.12171075822164615,0.11760962427490287,5.126417057965682e-07,0.9551451187335093,0.9456275924594368,0.9419277018592277,0.9505364113814219,5e-05,0.0002
2,14.2151,0.09042161889374256,0.0830088059624864,9.26601575833451e-07,0.941952506596306,0.9330411160095181,0.9294126044806168,0.9393248302611263,5e-05,0.0002
3,13.7387,0.07099408681193987,0.06104870168492198,1.243173147082012e-06,0.9498680738786279,0.9410338324599568,0.935972544410042,0.9483618421510309,5e-05,0.0002
4,14.7256,0.06570207871910598,0.055080334361021714,1.3277180136760257e-06,0.9472295514511874,0.9390212812240506,0.933300308709742,0.9476475286762541,5e-05,0.0002
5,14.3695,0.08055742273314132,0.0688231488275859,1.4667842732604994e-06,0.9445910290237467,0.9375973098441707,0.9313533142789581,0.9487419517791309,2.5e-05,0.0001
6,13.2794,0.05951181207266119,0.047098773303959104,1.5516298213292936e-06,0.9551451187335093,0.9470665182297374,0.9417528249816641,0.9544560829887272,2.5e-05,0.0001
7,13.4897,0.0693094078451395,0.057142723825139304,1.5208354372791493e-06,0.9511873350923483,0.9432226727015965,0.9379044590809297,0.9503674075000547,2.5e-05,0.0001
8,14.2623,0.061285450433691345,0.0489133655714492,1.5465105586069208e-06,0.945910290237467,0.9372513569592918,0.9329751956570552,0.9433147217321827,2.5e-05,0.0001
9,14.4979,0.05135590953545438,0.03911898163561192,1.5296159795575982e-06,0.9472295514511874,0.9390746103189356,0.9330943461397784,0.947755681958952,2.5e-05,0.0001
10,14.1171,0.06360868693639835,0.051426518977516225,1.522771001166095e-06,0.9525065963060686,0.9453401575065576,0.9403372907713307,0.9524699954337287,1.25e-05,5e-05
11,13.8905,0.04431978658669525,0.032212126094640955,1.5134575859418773e-06,0.9472295514511874,0.9388553348218653,0.9334292291175419,0.9464839078787304,1.25e-05,5e-05
