epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,26.504,0.5416435967622832,0.6410450197702037,0.3863037752414399,0.5136743975058218,0.0005
2,27.0319,0.15622746825895525,0.6547887258465056,0.3249869087100716,0.48988781727828856,0.0005
3,26.5865,0.12544432062317024,0.672931951471229,0.32133914329760027,0.4971355473844146,0.0005
4,26.9813,0.08734875519505957,0.6663278792656218,0.3244575936883629,0.49539273647699233,0.0005
5,27.2407,0.08238101182822985,0.6715614782064568,0.38237642995898985,0.5269689540827234,0.0005
6,27.3086,0.07900122098825788,0.6658928667226763,0.32448646125116715,0.49518966398692177,0.0005
7,27.7709,0.06700108456425369,0.6492221589543059,0.3837945730161299,0.5165083659852179,0.0005
8,26.7913,0.059315837255615574,0.6614757914420074,0.32141669042866644,0.49144624093533695,0.0005
9,27.8159,0.07010956432813228,0.6578256672686689,0.39361507532485457,0.5257203712967617,0.00025
10,26.7202,0.04547148695564829,0.6662720048075462,0.39058724655951255,0.5284296256835294,0.00025
11,27.1059,0.03623300504709319,0.6642497910277977,0.38445090230689194,0.5243503466673448,0.00025
12,26.7834,0.033409005792980846,0.6724254451522211,0.49419994046859717,0.5833126928104091,0.00025
13,27.4131,0.03320092371061698,0.661353238879577,0.39238739911481385,0.5268703189971954,0.00025
14,27.5183,0.029252001241151116,0.6625227106675552,0.4934686770961987,0.5779956938818769,0.00025
15,27.4251,0.03713791702135826,0.6690337862070386,0.3923955296404276,0.5307146579237331,0.00025
