epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,32.3107,0.9080400798808445,0.6513410177943609,0.3102971272644584,0.4808190725294097,0.001
2,31.8266,0.5482169162820686,0.6464413881584629,0.31443931567571526,0.48044035191708906,0.001
3,31.9972,0.5390085686336864,0.6827734066822301,0.2686024392973034,0.4756879229897667,0.001
4,31.9014,0.5032832393930717,0.6828254127770859,0.2619052200709791,0.47236531642403246,0.001
5,32.2359,0.49151388386433775,0.6871939710785439,0.26914236317208906,0.47816816712531646,0.0005
