epoch,epoch_time_sec,steps_per_epoch,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,24.8043,88,0.10792448510288853,0.9591029023746702,0.9541864033378207,0.951177156177156,0.9583349310522824,5e-05,0.0002
2,25.2574,88,0.11305933034534311,0.9551451187335093,0.949430635409021,0.9468953729846821,0.953287810633434,5e-05,0.0002
3,25.1114,88,0.10406733414327557,0.9511873350923483,0.9455920119066157,0.940520958163496,0.9522740804536131,5e-05,0.0002
4,23.9657,88,0.09370712397239087,0.9591029023746702,0.9542829402181476,0.9511923163763308,0.9582323431186083,5e-05,0.0002
5,25.2617,88,0.08952548797242343,0.9564643799472295,0.950947022318449,0.9501503631755732,0.9520079043578171,5e-05,0.0002
6,24.6425,88,0.10097461014679125,0.9577836411609498,0.9529707321875884,0.9488495369391465,0.9582462555636099,5e-05,0.0002
7,24.6492,88,0.10238468180283565,0.9604221635883905,0.9555964946552746,0.951355572532043,0.9611825474755393,5e-05,0.0002
8,24.838,88,0.09546925457702442,0.9551451187335093,0.9500002681630004,0.9450293727753645,0.9562630581334146,5e-05,0.0002
9,24.5542,88,0.09174476570280438,0.9604221635883905,0.9563744971972927,0.9526558203328701,0.9610770694170622,5e-05,0.0002
10,25.5307,88,0.09835154516622424,0.9577836411609498,0.9525821195214329,0.9499172348686912,0.9561241898359103,5e-05,0.0002
11,25.7024,88,0.0887698438600637,0.9604221635883905,0.9557299293164252,0.9517666350976886,0.9608663282006902,5e-05,0.0002
12,25.41,88,0.09704043960664421,0.9617414248021108,0.9571684250272513,0.9542693988337584,0.9610631569720607,5e-05,0.0002
