epoch,epoch_time_sec,train_loss,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,lr
1,244.3979,0.17349250532449192,0.9158499019882386,0.9010392209363706,0.9259217472421676,0.8987905717103261,0.001
2,254.7535,0.05206684505601332,0.9458134976197143,0.9305450736834746,0.9428392832791954,0.9334864690701576,0.001
3,242.4374,0.0346960114887853,0.9376925231027723,0.9128555301962288,0.9334343465649894,0.9105960978727812,0.001
4,242.795,0.041031962466088666,0.9607952954354523,0.9339604797658129,0.9462783576350332,0.9402594088529674,0.001
5,244.1166,0.033907871026133234,0.9561747409689163,0.935980034417674,0.9467273149587991,0.9423826604823854,0.001
6,244.1987,0.04161528441865519,0.9402128255390647,0.915797510961137,0.9435766478909015,0.9125891252592013,0.001
7,240.2733,0.028612973069265836,0.9669560347241669,0.9556038585053852,0.9625500103081805,0.9543629878404188,0.001
8,242.9432,0.02721573329560346,0.9567348081769812,0.9362272906625584,0.9383846397980449,0.9457227686760727,0.001
9,242.1099,0.032111255113143264,0.9588350602072249,0.9467511093135398,0.9454084353751911,0.9564175065410473,0.001
10,242.3463,0.033502892607271406,0.9656958835060208,0.952146415519499,0.9641776705178425,0.9456015514573417,0.001
11,243.0914,0.025348309765612056,0.9599551946233548,0.9393789458573014,0.9587137079850405,0.9471329252630507,0.0005
12,251.5693,0.013436724550962674,0.9897787734528143,0.9851745545713891,0.9839839736223588,0.9867324086749144,0.0005
13,251.8897,0.008501539878088563,0.9838980677681322,0.9781012768039499,0.9778036085123449,0.9795361275190488,0.0005
14,241.991,0.00970428674093107,0.9683562027443293,0.9496379735534201,0.9651568581804022,0.9582963668822687,0.0005
15,243.6883,0.011404754728598024,0.9757770932511901,0.9641872806482356,0.9633682305543553,0.9747590506266968,0.0005
16,241.6042,0.011324540687181547,0.9735368244189303,0.9688227218001751,0.9707106665527518,0.9690149604727355,0.00025
17,240.914,0.007327907123847477,0.9928591430971717,0.9887235963296066,0.9876563273797682,0.990128547105911,0.00025
18,241.8616,0.005347156861832915,0.9914589750770092,0.9873258505101469,0.9866604992639579,0.9883208729358668,0.00025
19,240.9049,0.004714125651105787,0.9883786054326519,0.98330052783586,0.9823943670449713,0.9850813457728333,0.00025
20,245.4771,0.0065258184491637965,0.9869784374124895,0.9841455390024237,0.9841724265296162,0.9846453266900822,0.00025
21,246.2408,0.006781012910402976,0.9883786054326519,0.9835427533898818,0.983863776644532,0.9836352261055846,0.000125
22,243.9023,0.00491044809226292,0.9915989918790254,0.9879645830714809,0.9861783159217156,0.9900246284042397,0.000125
23,243.4498,0.003192453573630957,0.9927191262951555,0.9897292762920777,0.9887325164636928,0.9909051943822563,0.000125
24,242.5513,0.0034716737713182703,0.9925791094931392,0.9900976414065858,0.9893404001462974,0.9909545335661539,0.000125
25,244.454,0.003962077775359897,0.9921590590870905,0.9893066626090105,0.988546590295361,0.9902718323644635,0.000125
26,246.1443,0.0036598610036499366,0.9889386726407169,0.985485470294582,0.9844524370453182,0.9869372694807523,0.000125
27,247.6965,0.0031454697505831908,0.9920190422850742,0.98887901178906,0.9888267279629367,0.9890726518566034,0.000125
28,245.9889,0.004523807904044722,0.9778773452814338,0.9732887972909329,0.9729960894949408,0.9761855189442189,6.25e-05
29,242.2225,0.0034856953844310864,0.9915989918790254,0.9888857709043571,0.9879572019528703,0.9900159442467132,6.25e-05
30,241.8107,0.003315884709216017,0.9934192103052366,0.9904832762515942,0.9896992204718298,0.9914914748786703,6.25e-05
31,244.1353,0.00288895178745339,0.9932791935032204,0.990626295303114,0.9902045798637498,0.9911444869390608,6.25e-05
32,243.3522,0.002748293049104946,0.9922990758891067,0.9886132766367536,0.9880054524999587,0.9893838657504348,6.25e-05
33,242.7206,0.0023676862405677913,0.9928591430971717,0.9895088793417508,0.9884255575214472,0.9908179589632463,6.25e-05
34,239.5156,0.0022795363130604994,0.9925791094931392,0.990022569003095,0.9889050772232076,0.9913784067218582,6.25e-05
35,223.528,0.002519497176213893,0.9906188742649118,0.9869424995160354,0.9858510056823706,0.9885790432579348,3.125e-05
36,223.2449,0.003130050459462562,0.992439092691123,0.9889847027759523,0.9887731942631572,0.9894161490693555,3.125e-05
37,219.0065,0.0022377679573972443,0.9928591430971717,0.9899127287312091,0.9893384513656815,0.9906850325763961,3.125e-05
38,236.3673,0.0025228764927012755,0.9921590590870905,0.9887027048555841,0.9883572203716837,0.9892188020863771,3.125e-05
39,241.4464,0.002068732502431165,0.9922990758891067,0.9888811785917816,0.9885855992467893,0.9893217123175726,1.5625e-05
40,233.4912,0.0020617871281953417,0.9928591430971717,0.9895759204731559,0.9889265491916919,0.9904296755375336,1.5625e-05
41,230.1363,0.002207186996305694,0.9925791094931392,0.9894980494680681,0.988528441801922,0.9907142351020967,1.5625e-05
