label,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.98125,0.9843260188087775,0.9827856025039123,319.0
Tomato___Early_blight,0.9354838709677419,0.9666666666666667,0.9508196721311475,150.0
Tomato___Late_blight,0.9822064056939501,0.965034965034965,0.9735449735449735,286.0
Tomato___Leaf_Mold,0.965034965034965,0.965034965034965,0.965034965034965,143.0
Tomato___healthy,0.9957983193277311,0.9916317991631799,0.9937106918238994,239.0
macro avg,0.9719547122048777,0.9745388829417108,0.9731791810077797,1137.0
weighted avg,0.9764715576015469,0.9762532981530343,0.9763080701831085,1137.0
