epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.25396643046821865,1.112466382632452e-06,0.8627450980392157,0.8531740077876613,5e-05,0.0002
2,0.2332689996276583,2.304664495308576e-06,0.8921568627450981,0.8858350951374208,5e-05,0.0002
3,0.19175003149679729,3.2542072208993237e-06,0.8921568627450981,0.8825119805450254,5e-05,0.0002
4,0.1931122967175075,3.6197232670279585e-06,0.8921568627450981,0.8825119805450254,5e-05,0.0002
5,0.14887688628264836,4.221434599977718e-06,0.8725490196078431,0.8646597967250141,5e-05,0.0002
6,0.20746881940535136,4.412586609500327e-06,0.8529411764705882,0.83991341991342,2.5e-05,0.0001
7,0.26477169884102686,4.383822085531262e-06,0.8529411764705882,0.83991341991342,2.5e-05,0.0001
