epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.17429048674447195,,0.8627450980392157,0.8561320522296132,5e-05,0.0002
2,0.20741968655160495,,0.8823529411764706,0.876146482244043,5e-05,0.0002
3,0.19327659851738385,,0.8431372549019608,0.8295579852350248,5e-05,0.0002
4,0.23364317044615746,,0.8431372549019608,0.8328351295140859,5e-05,0.0002
5,0.12030591709273201,,0.8921568627450981,0.8865879654555086,5e-05,0.0002
6,0.14213896383132255,,0.9411764705882353,0.9403892964868575,5e-05,0.0002
7,0.15637981306229318,,0.8921568627450981,0.8888255376060255,5e-05,0.0002
8,0.10679622766162668,,0.9019607843137255,0.8988448949424559,5e-05,0.0002
9,0.15898901330573217,,0.9019607843137255,0.8976958630957498,5e-05,0.0002
10,0.23940641752311162,,0.9019607843137255,0.898144233027954,2.5e-05,0.0001
11,0.10860943528158325,,0.8921568627450981,0.8881940373048444,2.5e-05,0.0001
