epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,36.6345,0.33101044102641175,0.6119904087262213,0.32051598205688253,0.46625319539155197,0.0005
2,37.0329,0.33621125545137187,0.6299355536929718,0.3190364139755679,0.4744859838342699,0.0005
3,37.6213,0.3094400725335129,0.6124110902945672,0.3828446005267779,0.4976278454106725,0.0005
4,38.2571,0.304859471345736,0.6288768607406137,0.31323166066368485,0.4710542607021493,0.0005
5,37.7836,0.28965594718032633,0.6297745849560095,0.317571232570754,0.47367290876338175,0.0005
6,37.9657,0.2972477601825698,0.6232385784899034,0.38030817632548,0.5017733774076917,0.0005
7,37.4158,0.26962706502065187,0.6335133224516036,0.3852674207512917,0.5093903716014476,0.0005
8,37.7072,0.2733902303147907,0.6228948720162333,0.3851808406647116,0.5040378563404724,0.0005
9,37.2506,0.2746200103405093,0.6274918750476177,0.38762551734977213,0.5075586961986949,0.0005
10,37.3771,0.2727020683059515,0.6185925934175385,0.38951063390460455,0.5040516136610715,0.0005
11,37.8448,0.26938990799109797,0.6330869254404222,0.38404130156110067,0.5085641135007615,0.00025
12,37.4826,0.2607485914587482,0.6247750362152359,0.3790045248868778,0.5018897805510568,0.00025
