epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,26.7439,0.08046684247462756,0.6636336097466237,0.3881794566988068,0.5259065332227153,0.0002
2,27.9208,0.06947818649033169,0.66129995257977,0.3947749416769589,0.5280374471283644,0.0002
3,27.1497,0.053841524246804925,0.6715808581499284,0.393592132505176,0.5325864953275522,0.0002
4,27.352,0.05334507712739816,0.670376524505768,0.48667758523527754,0.5785270548705228,0.0002
5,27.1787,0.04667600044128697,0.664686631847402,0.3923950017355085,0.5285408167914553,0.0002
6,27.3279,0.040107642412873575,0.6747531923339851,0.3911830435086249,0.532968117921305,0.0002
7,27.863,0.03239422034477519,0.6779162809544249,0.39354872113492806,0.5357325010446765,0.0002
8,27.8181,0.03255493390315678,0.6776132171053889,0.38998015698807664,0.5337966870467328,0.0001
9,27.9881,0.03272538571168711,0.6764015322044579,0.39298051296251424,0.534691022583486,0.0001
