phase,epoch,epoch_time_sec,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_last_group
phase1,1,28.4472,0.5458772371659119,0.8298153034300791,0.821619535876634,0.8238464494377779,0.8540319597978714,0.0005
phase1,2,23.4352,0.3269952754123827,0.8825857519788918,0.872189220054722,0.8647551632704952,0.8947256100592804,0.0005
phase1,3,23.3262,0.27274751311607576,0.8786279683377308,0.8726680839111614,0.8682195826160998,0.8998301398359846,0.0005
phase1,4,25.2373,0.22551138485583028,0.9261213720316622,0.919642596003212,0.9125372614799858,0.9336590220495466,0.0005
phase1,5,23.8458,0.24307561845759326,0.9129287598944591,0.906221229787769,0.8979407583887038,0.9233220364559165,0.0005
phase1,6,24.5696,0.18849629216063557,0.920844327176781,0.9148624913900564,0.9085774851560207,0.9327617922484013,0.0005
phase1,7,23.8941,0.17437680446532336,0.9393139841688655,0.9309445782826661,0.9248853705848006,0.9392576750495711,0.0005
phase1,8,23.8307,0.16908868268299637,0.924802110817942,0.9192066452560163,0.9108068612611138,0.9365520732011333,0.0005
phase1,9,25.3245,0.15510568135742392,0.920844327176781,0.9125357714138561,0.9062151437523978,0.9275647812118504,0.0005
phase1,10,22.5984,0.14160719496103819,0.9485488126649076,0.9411741824488417,0.9366558969865795,0.9474266789309385,0.0005
phase1,11,24.2569,0.14601860264462702,0.9340369393139841,0.9284632656863895,0.9218935232828771,0.9380488775313459,0.0005
phase1,12,24.1638,0.14174960117284838,0.9472295514511874,0.9414846024424677,0.9352810064117396,0.9500884889030236,0.0005
phase1,13,23.483,0.12129149557708689,0.9432717678100264,0.9396743949184808,0.9350154899924139,0.9455716369407462,0.0005
phase1,14,24.9682,0.11676294590984837,0.9327176781002638,0.9275083345213536,0.9202078098809003,0.9400693756393592,0.0005
phase1,15,24.9342,0.10972849199067006,0.9538258575197889,0.9489904229085202,0.9450319118813179,0.9536290730513327,0.0005
phase2,1,26.4847,0.1048159110412169,0.9379947229551451,0.9318879977581191,0.9254668697310638,0.9427586459710865,0.0005
phase2,2,25.4883,0.11922657300896022,0.9432717678100264,0.9387278509506203,0.932994135892151,0.947593372118446,0.0005
phase2,3,25.3575,0.0870784311450683,0.9525065963060686,0.9494527335302164,0.9470493508783004,0.9527917800576018,0.0005
phase2,4,26.2242,0.09634501014030382,0.9485488126649076,0.9436970879690916,0.937973570322189,0.9522963399945923,0.0005
phase2,5,27.8595,0.07974829666546723,0.9353562005277045,0.9300958940136017,0.9240184660002388,0.9399211380767731,0.0005
phase2,6,26.3946,0.09735782320998358,0.9445910290237467,0.9389866348248702,0.9335020767100939,0.9479886827163032,0.0005
phase2,7,25.8775,0.07803069877051068,0.9525065963060686,0.9480185000166033,0.9440870379961381,0.9527888899327988,0.0005
phase2,8,27.1019,0.08406266865184468,0.9577836411609498,0.9535377573924269,0.9515390069934829,0.9558222062844945,0.0005
phase2,9,26.4506,0.08977311476541872,0.9300791556728232,0.9230943201937286,0.9163124471961492,0.9371099085400794,0.0005
phase2,10,26.5642,0.07895909452135937,0.9604221635883905,0.9572250905175785,0.9530341658351142,0.962568040187483,0.0005
