label,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9839228295819936,0.9592476489028213,0.9714285714285714,319.0
Tomato___Early_blight,0.9328859060402684,0.9266666666666666,0.9297658862876255,150.0
Tomato___Late_blight,0.989247311827957,0.965034965034965,0.9769911504424779,286.0
Tomato___Leaf_Mold,0.8641975308641975,0.9790209790209791,0.9180327868852459,143.0
Tomato___healthy,0.9915254237288136,0.9790794979079498,0.9852631578947368,239.0
macro avg,0.9523558004086461,0.9618099515066764,0.9562963105877316,1137.0
weighted avg,0.9650693253388378,0.9630606860158312,0.9635238782030245,1137.0
