epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.17577268183231354,,0.8529411764705882,0.8470958828405637,5e-05,0.0002
2,0.1719750538468361,,0.803921568627451,0.7941538614137736,5e-05,0.0002
3,0.1676411990608488,,0.7647058823529411,0.7391478696741854,5e-05,0.0002
4,0.1969566515513829,,0.803921568627451,0.7850159558803701,5e-05,0.0002
5,0.10464412080390113,,0.8137254901960784,0.8021669558511663,2.5e-05,0.0001
6,0.10983967674630028,,0.803921568627451,0.7924363177193366,2.5e-05,0.0001
