epoch,epoch_time_sec,train_loss,val_new_macro_f1,lr
1,9.4989,0.12049122377321488,0.9621649893285867,0.0005
2,10.7091,0.12450139333562153,0.7892262331659894,0.0005
3,11.1991,0.12131532445186521,0.7008744096812278,0.0005
4,11.4005,0.1120947993746618,0.8951013513513513,0.0005
5,11.486,0.10601909045220875,0.9710025551371705,0.0005
6,10.8039,0.11696454301113035,0.5501684987563187,0.0005
7,10.756,0.11245583495261466,0.8651152512409057,0.0005
8,10.7379,0.09859302260617657,0.9244949494949495,0.0005
9,11.0144,0.10028701677645852,0.8529963185164985,0.00025
10,11.0992,0.08494154777286983,0.9536134453781513,0.00025
