epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.23935383558273315,,0.7941176470588235,0.778260208700939,0.0001,0.0005
2,0.29476140226636616,,0.7941176470588235,0.770764341207691,0.0001,0.0005
3,0.24084506556391716,,0.8137254901960784,0.7996564292791779,0.0001,0.0005
4,0.12888830687318528,,0.8529411764705882,0.8455203711017665,0.0001,0.0005
5,0.23157178610563278,,0.8627450980392157,0.8554837410651365,0.0001,0.0005
6,0.09608022256621293,,0.8431372549019608,0.8329407938163069,0.0001,0.0005
7,0.10130595096520015,,0.8333333333333334,0.8202684742158425,0.0001,0.0005
8,0.12924990164382116,,0.8333333333333334,0.8238095238095238,0.0001,0.0005
9,0.12596090883016586,,0.8333333333333334,0.8206238907705036,5e-05,0.00025
10,0.13402061483689717,,0.8431372549019608,0.8329407938163069,5e-05,0.00025
11,0.11170801307473864,,0.8529411764705882,0.8460484964768931,5e-05,0.00025
12,0.11245077422686986,,0.8725490196078431,0.8682134674790734,5e-05,0.00025
