epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,32.2118,0.8351865966211666,0.580193196448785,0.2879935243003932,0.4340933603745891,0.001
2,31.3927,0.4866013684394685,0.5926900789463564,0.36754225884348096,0.4801161688949187,0.001
3,30.5021,0.4400309229438955,0.6062182477861325,0.31343283582089554,0.45982554180351404,0.001
4,31.1734,0.4187301722439853,0.6091596556013499,0.37991245855704553,0.4945360570791977,0.001
5,30.4051,0.3850119886919856,0.5989817744701323,0.3787610619469027,0.48887141820851754,0.001
