epoch,epoch_time_sec,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr
1,27.8378,1.2151337694585993,0.13192612137203166,0.04662004662004662,0.026385224274406333,0.2,0.001
2,26.3717,0.8904283314608457,0.2519788918205805,0.08050579557428873,0.050395778364116094,0.2,0.001
3,27.2545,0.7647410976083091,0.13192612137203166,0.04662004662004662,0.026385224274406333,0.2,0.001
4,27.3086,0.6185883561546883,0.3482849604221636,0.17311663823291729,0.2117391304347826,0.2534031413612565,0.001
5,26.9041,0.5313884039943138,0.370712401055409,0.20902468146843475,0.4501607292034084,0.27544542981227127,0.001
6,27.0376,0.4924096433299311,0.6015831134564644,0.5353595114929293,0.6311259583771256,0.5541221804031807,0.001
7,26.8154,0.4264340412415815,0.7651715039577837,0.7452975704036557,0.7760052825251492,0.7566426538454694,0.001
8,26.7617,0.40295844516727364,0.7480211081794196,0.7502692565494158,0.7764503036288115,0.7443201070128743,0.001
9,26.7629,0.361794672320398,0.8153034300791556,0.7914400853383904,0.8174269182382773,0.7859417672634014,0.001
10,28.0243,0.3170224649182866,0.8654353562005277,0.8594662765056601,0.8659887130256791,0.864102703341438,0.001
11,26.8659,0.28367192725117285,0.783641160949868,0.7457999563113884,0.7639980687181134,0.7577087114383863,0.001
12,26.5703,0.3163536483986994,0.7453825857519789,0.750221891541465,0.7900478919342833,0.7702482880876561,0.001
13,26.3811,0.2536181138221468,0.8720316622691293,0.833556813262774,0.8647333654857462,0.8298523711596681,0.001
14,27.1723,0.27326160891169915,0.7638522427440633,0.7509692820227711,0.7849594141760594,0.7859652570882469,0.0005
15,28.4855,0.2062890546794018,0.9036939313984169,0.8948554054193514,0.8903350010445333,0.9108836834487082,0.0005
16,29.4754,0.1606341702968217,0.8469656992084432,0.8333926882736531,0.841643672617157,0.8648202805028664,0.0005
17,25.945,0.17230785520893804,0.8865435356200527,0.8767619471579335,0.8914623212322841,0.8828299181739915,0.0005
18,26.7901,0.14208853583824768,0.866754617414248,0.8654099602928429,0.8822141973717246,0.8850038149735276,0.0005
19,26.8616,0.1496077004631751,0.9300791556728232,0.9228366315100359,0.9257436820284941,0.9214656887079142,0.0005
20,26.1447,0.13524823089580187,0.8179419525065963,0.8205327421726437,0.8476205343087887,0.8519914309247063,0.0005
21,26.6024,0.13154659219337314,0.895778364116095,0.8849021142131036,0.8816730827980489,0.902694986872733,0.0005
22,26.2364,0.14050625390216206,0.9261213720316622,0.9155064037847204,0.9189536238129588,0.9130225372470135,0.0005
23,26.7491,0.12585489443513784,0.8693931398416886,0.8619186298945177,0.869604283519239,0.880097084584591,0.00025
24,25.9503,0.10500134463851037,0.9406332453825857,0.9329039282457761,0.9271091998554348,0.940830842168386,0.00025
25,26.8383,0.08018018631787782,0.9445910290237467,0.938253268954033,0.9311201455112531,0.9502189017267006,0.00025
26,24.5932,0.0939889319314297,0.8799472295514512,0.8746997703059283,0.8807952221398576,0.9007392377439236,0.00025
27,25.8277,0.08176508902969738,0.9393139841688655,0.9344767238896774,0.9311600996761153,0.9419046587854002,0.00025
28,26.4006,0.08401093803074085,0.9379947229551451,0.9325223115816621,0.9297886980553358,0.937371823482458,0.00025
29,26.0436,0.08100116751784606,0.9366754617414248,0.9319170530830047,0.9275509852216748,0.9412967371603553,0.000125
30,26.9121,0.07628701995074581,0.9353562005277045,0.9305066856047166,0.9253101971851321,0.944908536588789,0.000125
31,26.3006,0.06660192129149865,0.9274406332453826,0.9212695613762734,0.9132775159604204,0.9383189640659326,0.000125
32,27.2521,0.07480847682892816,0.9564643799472295,0.9508142822909178,0.9486359959555106,0.9533849415959337,0.000125
33,26.8859,0.05434091655234021,0.945910290237467,0.9424089301337177,0.9367692051247296,0.952002595161305,0.000125
34,26.6535,0.07698686629157053,0.9353562005277045,0.9259491772292971,0.9199349969630164,0.9375894598245387,0.000125
35,25.7526,0.06441628473570173,0.945910290237467,0.9408026932584057,0.9343468367560288,0.951049715580153,0.000125
36,26.1899,0.07270934923258976,0.9498680738786279,0.943684813221705,0.9377134146991217,0.95270299619108,6.25e-05
37,25.9343,0.06224975054508096,0.9445910290237467,0.9403864319174581,0.9337410946321058,0.9510691933741786,6.25e-05
38,28.2018,0.054069683369081675,0.9551451187335093,0.9508494608942847,0.9470154916764816,0.9558304450026229,6.25e-05
39,27.0401,0.04770441510547162,0.9630606860158312,0.9586822179997263,0.9571516346967437,0.9603184517609094,6.25e-05
40,27.8552,0.06410116897738968,0.9511873350923483,0.9441874116302312,0.94236359613615,0.9468665431012727,6.25e-05
41,26.9241,0.06221159731608219,0.941952506596306,0.9342078568813144,0.9270266629535348,0.944318707913421,6.25e-05
42,26.7556,0.06558861054501004,0.9432717678100264,0.9367769970977715,0.9294887548200219,0.9473853061262947,6.25e-05
43,26.642,0.05065559076794078,0.9511873350923483,0.9452536720300511,0.9398743305064248,0.9529053903114744,3.125e-05
44,25.9315,0.039400152141343424,0.9525065963060686,0.9467520808539944,0.9413169037092768,0.9540606640130204,3.125e-05
45,26.2571,0.047668780859434205,0.9551451187335093,0.9496524263858802,0.9444219099719028,0.9568914778664727,3.125e-05
46,25.891,0.05031936786142754,0.9577836411609498,0.9531668683320902,0.9491025657973008,0.9581409924057152,3.125e-05
47,25.4679,0.04054802178347672,0.9511873350923483,0.9456220473547873,0.938907419038998,0.9549248681054998,1.5625e-05
48,26.7621,0.041868680167231664,0.9591029023746702,0.9538149882539354,0.9487853241066994,0.9601409924057152,1.5625e-05
49,26.8548,0.04196045301943557,0.9591029023746702,0.9542278260351397,0.9495039957438814,0.9601409924057152,1.5625e-05
