epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.15318270629415146,,0.9019607843137255,0.8963077219705002,5e-05,0.0002
2,0.1990869285968634,,0.8823529411764706,0.8779397591937658,5e-05,0.0002
3,0.09361092631633465,,0.8823529411764706,0.8769942759712581,5e-05,0.0002
4,0.14117496747236985,,0.9019607843137255,0.8963077219705002,5e-05,0.0002
5,0.11307887732982635,,0.9117647058823529,0.9092398746397612,5e-05,0.0002
6,0.1315147219082484,,0.9313725490196079,0.9283126820573019,5e-05,0.0002
7,0.09998045388895732,,0.9215686274509803,0.9171421532397142,5e-05,0.0002
8,0.11926185110440621,,0.8921568627450981,0.8874331424801489,5e-05,0.0002
9,0.09901251787176499,,0.8921568627450981,0.8874331424801489,5e-05,0.0002
10,0.09060834555958326,,0.9215686274509803,0.9199335548172757,2.5e-05,0.0001
11,0.06204120943752619,,0.9313725490196079,0.9296533113322676,2.5e-05,0.0001
12,0.07317356765270233,,0.9215686274509803,0.9199335548172757,2.5e-05,0.0001
