stage,n_seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,accuracy_per_seed
base,3,89.1,2.35,89.18,2.16,91.59|88.79|86.92
replay_cycle1,3,92.52,3.37,92.29,3.76,93.46|88.79|95.33
replay_cycle2,3,90.03,3.54,89.93,3.73,85.98|92.52|91.59
ewc_cycle1,3,87.85,2.47,87.82,2.59,86.92|85.98|90.65
ewc_cycle2,3,88.79,1.62,88.58,1.97,86.92|89.72|89.72
naive_cycle1,3,89.41,4.21,89.32,4.37,89.72|85.05|93.46
naive_cycle2,3,87.85,2.47,87.72,2.68,85.98|86.92|90.65
