phase,epoch,train_loss,val_accuracy,val_macro_f1,lrs
phase1,1,1.0307839683123998,0.5196078431372549,0.4867191954875566,0.00100000
phase1,2,0.5301260224410466,0.5,0.44945250827603767,0.00100000
phase1,3,0.5668104333536965,0.5196078431372549,0.5107843137254902,0.00100000
phase1,4,0.5454086352671895,0.7647058823529411,0.7662852056380874,0.00100000
phase1,5,0.6589628053562981,0.6274509803921569,0.5818508535489667,0.00100000
phase1,6,0.5927051273839814,0.6470588235294118,0.6451803660532314,0.00100000
phase1,7,0.4513782688549587,0.7450980392156863,0.7358499948836084,0.00100000
phase1,8,0.7592460066080093,0.7352941176470589,0.7261871921182267,0.00050000
phase1,9,0.6613224079566342,0.7647058823529411,0.7614853052567794,0.00050000
phase2,1,0.7886750495859555,0.6862745098039216,0.6801970004302662,0.00010000|0.00100000
phase2,2,0.583789196397577,0.6274509803921569,0.5868564109635538,0.00010000|0.00100000
phase2,3,0.46873910086495535,0.6764705882352942,0.6677219251336898,0.00010000|0.00100000
phase2,4,0.36401878723076414,0.803921568627451,0.8017770610580828,0.00010000|0.00100000
phase2,5,0.5638801093612399,0.7352941176470589,0.7227867690314433,0.00010000|0.00100000
phase2,6,0.3491180097418172,0.7352941176470589,0.7242837323608688,0.00010000|0.00100000
phase2,7,0.2798748404851982,0.8137254901960784,0.8132649410458196,0.00010000|0.00100000
phase2,8,0.2664586044847965,0.8431372549019608,0.8383315372789056,0.00010000|0.00100000
phase2,9,0.3397798128426075,0.7843137254901961,0.7678684436131245,0.00010000|0.00100000
phase2,10,0.5789660183446748,0.7352941176470589,0.7040037343608773,0.00010000|0.00100000
phase2,11,0.4573314945612635,0.9117647058823529,0.9101134356948309,0.00010000|0.00100000
phase2,12,0.42648790989603313,0.803921568627451,0.7874256835232446,0.00010000|0.00100000
phase2,13,0.5260771273502282,0.8333333333333334,0.8147413727341977,0.00010000|0.00100000
phase2,14,0.5577865652740002,0.7450980392156863,0.7187813620071685,0.00010000|0.00100000
phase2,15,0.2630436159670353,0.6666666666666666,0.6645542257306963,0.00005000|0.00050000
phase2,16,0.4826922858400004,0.8137254901960784,0.8098360304883314,0.00005000|0.00050000
