epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,44.3694,0.6801190539154895,0.6711950797566014,0.3118319557948041,0.49151351777570274,0.001
2,43.5628,0.4503338297670202,0.6602254862222094,0.31096190530152795,0.4855936957618687,0.001
3,43.2432,0.4401204307643018,0.6820498262133505,0.31254451944107114,0.49729717282721086,0.001
4,45.039,0.3984504232341929,0.6753184032534826,0.3118759254929468,0.49359716437321466,0.001
5,44.6589,0.37397556168626445,0.6830698405682878,0.2718558767190986,0.4774628586436932,0.001
6,44.2046,0.3775334978519484,0.6834420321820412,0.26532129980405844,0.4743816659930499,0.001
7,43.9381,0.36176864831715594,0.6799144415103673,0.31597397627248375,0.49794420889142554,0.001
8,44.4848,0.3515345842339272,0.6914176009409607,0.32037709351142185,0.5058973472261913,0.001
9,43.8849,0.33464875886606615,0.6860848668148741,0.27096851592981286,0.4785266913723435,0.001
10,44.3588,0.3169844714246055,0.787859288675285,0.30581177712722557,0.5468355329012553,0.001
11,44.0299,0.3237763493675594,0.6822874482812155,0.3213572854291417,0.5018223668551786,0.001
12,44.8066,0.31661376992399376,0.6835579625734708,0.4843683368869936,0.5839631497302322,0.001
13,43.6014,0.3096892639648083,0.689397990804356,0.27187971029512276,0.4806388505497394,0.001
14,43.3285,0.3110679903233698,0.6763166446500348,0.32347042160329176,0.4998935331266633,0.001
15,44.7559,0.3111047037234602,0.6895546816035191,0.27216502936675085,0.480859855485135,0.001
