epoch,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,0.10212901516093148,0.9432717678100264,0.9347199552949002,0.9295897046643333,0.9425966043413482,5e-05,0.0002
2,0.08811598831477264,0.9525065963060686,0.9447350892346295,0.9449593770412396,0.946109363599654,5e-05,0.0002
3,0.05982492344660891,0.9577836411609498,0.9522666328894147,0.9518337261194404,0.9530541109854106,5e-05,0.0002
4,0.06265822190325707,0.9564643799472295,0.9506307225510728,0.9508517415239671,0.9510512208606074,5e-05,0.0002
5,0.0543049451843318,0.9485488126649076,0.9387711186189669,0.9352948602994715,0.9437139446239474,5e-05,0.0002
6,0.051857919869427054,0.9591029023746702,0.952813171000035,0.9486211284715956,0.9578137508106674,5e-05,0.0002
7,0.039546777799518575,0.9525065963060686,0.9462695513479558,0.9437120224347947,0.9502397764233314,5e-05,0.0002
8,0.030707135100642012,0.9617414248021108,0.9543705737128715,0.9502259614251862,0.9596887949581647,5e-05,0.0002
9,0.04254414389789518,0.9630606860158312,0.9561338578072366,0.9519865100596607,0.9612655510924549,5e-05,0.0002
10,0.029490258172154428,0.9670184696569921,0.9600686086520114,0.9581459325408227,0.9630269849860797,5e-05,0.0002
11,0.034363740651557846,0.9670184696569921,0.9601268459312623,0.9594947239822021,0.9613348571649512,5e-05,0.0002
12,0.03254878355138418,0.9564643799472295,0.9497981678012181,0.9480802517362632,0.9523229949408293,5e-05,0.0002
