epoch,epoch_time_sec,steps_per_epoch,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,25.5309,88,0.06661784772983413,0.9498680738786279,0.9416843991672182,0.9367988670237963,0.9481566662836828,5e-05,0.0002
2,25.3634,88,0.0440963644902116,0.9511873350923483,0.9446526293595188,0.940309702302429,0.9506863019991247,5e-05,0.0002
3,25.6115,88,0.03512361237914196,0.9485488126649076,0.9441426748039656,0.9386557320780622,0.95336850355649,5e-05,0.0002
4,24.2552,88,0.026499026379910487,0.9498680738786279,0.9439077826994666,0.9397045743076056,0.9503728644712292,5e-05,0.0002
5,25.0175,88,0.034015944256680086,0.9485488126649076,0.9388903956190809,0.9327275974930856,0.9479569473875091,5e-05,0.0002
6,24.8964,88,0.02950174922642129,0.9472295514511874,0.939272163320106,0.9354002891569475,0.9443683212913093,2.5e-05,0.0001
7,24.7395,88,0.030429426105745897,0.9538258575197889,0.948364748619532,0.9426806526806526,0.9571243721010909,2.5e-05,0.0001
8,25.6636,88,0.02443012902453616,0.9393139841688655,0.931201855589855,0.924806503066035,0.9410597175863638,2.5e-05,0.0001
9,25.6402,88,0.023367147651284045,0.941952506596306,0.9343533764648416,0.9279644439764809,0.944420167155258,2.5e-05,0.0001
10,25.5275,88,0.024781077179465105,0.9445910290237467,0.9366983322374441,0.9308319608707232,0.9453452218464065,2.5e-05,0.0001
11,25.738,88,0.019053813009039997,0.9498680738786279,0.9427485763179355,0.9362653673985781,0.9521854049649405,1.25e-05,5e-05
12,26.5409,88,0.017124086766588418,0.9485488126649076,0.9408173019658594,0.9347776193747759,0.9494394626841028,1.25e-05,5e-05
