label,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9814814814814815,0.9968652037617555,0.9891135303265941,319.0
Tomato___Early_blight,0.9235668789808917,0.9666666666666667,0.9446254071661238,150.0
Tomato___Late_blight,0.9928571428571429,0.972027972027972,0.9823321554770318,286.0
Tomato___Leaf_Mold,1.0,0.9790209790209791,0.9893992932862191,143.0
Tomato___healthy,1.0,0.9874476987447699,0.9936842105263158,239.0
macro avg,0.9795811006639031,0.9804057040444286,0.9798309193564568,1137.0
weighted avg,0.9829241576929368,0.9824098504837291,0.9825353113203624,1137.0
