epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,32.9748,0.5867741602388296,0.6403905576356819,0.28882868937048506,0.46460962350308344,0.0005
2,32.9474,0.5851677368310365,0.6344425700402283,0.299647174168247,0.4670448721042376,0.0005
3,31.8353,0.5716618404469707,0.6429892432974953,0.2964886964886965,0.46973896989309594,0.0005
4,33.2039,0.5630060400475155,0.6367548415556806,0.3005737949656632,0.4686643182606719,0.0005
5,32.0408,0.5565287968651815,0.63193643127467,0.29528568916143205,0.46361106021805104,0.0005
6,32.346,0.5346182273192839,0.6405938594733829,0.29868143459915614,0.46963764703626953,0.0005
7,32.4716,0.5444286028769884,0.6425436193400448,0.29403451831566846,0.4682890688278566,0.00025
8,33.0804,0.5350591364231977,0.6407829437418757,0.302207218069287,0.47149508090558134,0.00025
9,32.8397,0.5079548533328555,0.6379092661372848,0.3072925461060768,0.4726009061216808,0.00025
10,32.5618,0.5365638456900012,0.6404853553203447,0.30379636616938527,0.47214086074486494,0.00025
11,32.3958,0.5337409068914977,0.6401613815888014,0.30826443160795863,0.47421290659838,0.00025
12,31.9998,0.49617384882135823,0.6420294318098352,0.30544692380441174,0.47373817780712346,0.00025
