phase,epoch,train_loss,val_accuracy,val_macro_f1,lrs
phase1,1,1.0307839683123998,0.5196078431372549,0.4867191954875566,0.00100000
phase1,2,0.5301260224410466,0.5,0.44945250827603767,0.00100000
phase1,3,0.5668104333536965,0.5196078431372549,0.5107843137254902,0.00100000
phase1,4,0.5454086352671895,0.7647058823529411,0.7662852056380874,0.00100000
phase1,5,0.6589628053562981,0.6274509803921569,0.5818508535489667,0.00100000
phase1,6,0.5927051273839814,0.6470588235294118,0.6451803660532314,0.00100000
phase1,7,0.4513782688549587,0.7450980392156863,0.7358499948836084,0.00100000
phase1,8,0.7592460066080093,0.7352941176470589,0.7261871921182267,0.00050000
phase1,9,0.6613224079566342,0.7647058823529411,0.7614853052567794,0.00050000
phase1,10,0.5946092499153954,0.7745098039215687,0.7695743663318987,0.00050000
phase1,11,0.444426702601569,0.8137254901960784,0.8106979527529606,0.00050000
phase1,12,0.4586037131292479,0.7745098039215687,0.7604493091449613,0.00050000
phase1,13,0.34536596494061605,0.8235294117647058,0.82502296289322,0.00050000
phase1,14,0.6198574591960225,0.8137254901960784,0.8103720840562947,0.00050000
phase1,15,0.37812954080956324,0.7156862745098039,0.6852732414176723,0.00050000
phase1,16,0.4363657385110855,0.803921568627451,0.7948775760540466,0.00050000
phase1,17,0.3179888299533299,0.8823529411764706,0.8786960842774796,0.00050000
phase1,18,0.3549242966941425,0.7941176470588235,0.7808183183183182,0.00050000
phase1,19,0.45635227646146503,0.7745098039215687,0.749804164580812,0.00050000
phase1,20,0.4279269890061447,0.9019607843137255,0.8986287803077365,0.00050000
phase1,21,0.3776013393487249,0.8235294117647058,0.8148926654740608,0.00050000
phase1,22,0.44312959909439087,0.8235294117647058,0.8053416149068324,0.00050000
phase1,23,0.43957765506846563,0.7549019607843137,0.72655005185995,0.00050000
phase1,24,0.36185906401702334,0.7647058823529411,0.7540367408433376,0.00025000
phase1,25,0.4089662273015295,0.7843137254901961,0.775211124640016,0.00025000
phase1,26,0.3649252216730799,0.7843137254901961,0.7752120366240878,0.00025000
phase1,27,0.2834405606346471,0.8431372549019608,0.8384072335538463,0.00025000
phase1,28,0.41666972104992184,0.8431372549019608,0.8336283958765401,0.00012500
phase2,1,0.40626600491149084,0.8333333333333334,0.8280944912523859,0.00010000|0.00100000
phase2,2,0.3342879813696657,0.8431372549019608,0.8280206702688144,0.00010000|0.00100000
phase2,3,0.45019434711762835,0.8333333333333334,0.8231548568390673,0.00010000|0.00100000
phase2,4,0.5575174880879266,0.8529411764705882,0.847916728861291,0.00010000|0.00100000
phase2,5,0.5878467751400811,0.7745098039215687,0.7568421052631578,0.00010000|0.00100000
phase2,6,0.26179611975593226,0.9215686274509803,0.9197012667801095,0.00010000|0.00100000
phase2,7,0.28305216745606493,0.8529411764705882,0.8328076372565756,0.00010000|0.00100000
phase2,8,0.7114492207765579,0.8725490196078431,0.8568092893686196,0.00010000|0.00100000
phase2,9,0.4957570279283183,0.7647058823529411,0.746571933813313,0.00010000|0.00100000
phase2,10,0.34610524613942417,0.7941176470588235,0.7743098932771226,0.00005000|0.00050000
phase2,11,0.38609317796570913,0.8725490196078431,0.8679657740633351,0.00005000|0.00050000
phase2,12,0.4043161754629442,0.7647058823529411,0.7490365226122243,0.00005000|0.00050000
phase2,13,0.4662563843386514,0.7549019607843137,0.7241777552165537,0.00005000|0.00050000
phase2,14,0.2625818159431219,0.8921568627450981,0.8837132207953173,0.00002500|0.00025000
