epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.16408426580684526,,0.9019607843137255,0.9022295911688991,5e-05,0.0002
2,0.20582670824868338,,0.8823529411764706,0.8796640757616367,5e-05,0.0002
3,0.15036432764359883,,0.8725490196078431,0.8670136581764488,5e-05,0.0002
4,0.1821316656257425,,0.8725490196078431,0.8670136581764488,5e-05,0.0002
5,0.09302346727677754,,0.8627450980392157,0.8576871516895996,2.5e-05,0.0001
6,0.101742436843259,,0.8823529411764706,0.8799204860180471,2.5e-05,0.0001
7,0.1065214207129819,,0.8725490196078431,0.8703356264331873,2.5e-05,0.0001
8,0.22313268056937627,,0.8823529411764706,0.8807862868838479,2.5e-05,0.0001
9,0.11914714904768127,,0.9411764705882353,0.9403892964868575,2.5e-05,0.0001
10,0.07544356717595033,,0.9313725490196079,0.9294372294372293,2.5e-05,0.0001
11,0.11807856974857193,,0.9313725490196079,0.9294372294372293,2.5e-05,0.0001
12,0.09628342677439962,,0.9313725490196079,0.9296533113322676,2.5e-05,0.0001
