epoch,epoch_time_sec,train_total_loss,train_ce_loss,train_ewc_penalty,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,15.7432,0.1591910427643193,0.15026301665024624,8.928024532413777e-07,0.9485488126649076,0.94338254835151,0.9395882678192216,0.9486016453270925,0.0001,0.0005
2,15.302,0.11415563569300705,0.09946938494427336,1.468625004640166e-06,0.9591029023746702,0.9549015073618241,0.9518374480888918,0.9583462766509125,0.0001,0.0005
3,14.4235,0.09968281396561199,0.0850678144229783,1.4614999903036127e-06,0.9538258575197889,0.9497149607725174,0.9450156215536755,0.9558499227966484,0.0001,0.0005
4,15.287,0.10219637917147742,0.08581241921832164,1.63839601504555e-06,0.9511873350923483,0.9477080417305966,0.9476086706678977,0.9480468599458682,0.0001,0.0005
5,14.7726,0.10687214272717635,0.08944069189019502,1.7431451144350122e-06,0.9472295514511874,0.9419305807711901,0.9394216973435867,0.945319373289952,0.0001,0.0005
6,15.304,0.10053298270536794,0.08058992537876798,1.9943057420985294e-06,0.9604221635883905,0.9555352426797695,0.9541004570017732,0.9571631780593632,0.0001,0.0005
7,14.6358,0.0877835986100965,0.06783798978819201,1.994560893257989e-06,0.9577836411609498,0.9549888481866431,0.9570105857206705,0.9533868114067492,0.0001,0.0005
8,14.8533,0.08454535437954797,0.0643002385687497,2.0245115188623053e-06,0.9538258575197889,0.9498258115020757,0.9470119602771352,0.9541577949755199,0.0001,0.0005
9,14.5514,0.08001569045914544,0.060849891297726166,1.916579910559651e-06,0.9538258575197889,0.9504155210262487,0.9471832728674835,0.9541622316327067,0.0001,0.0005
10,15.0572,0.07861752725309795,0.06019714789258109,1.8420379925980038e-06,0.9511873350923483,0.9479224528955879,0.948307557367985,0.9483634970612638,5e-05,0.00025
11,14.608,0.08401498968402545,0.06524926490253873,1.8765724816047523e-06,0.9617414248021108,0.9589377692685851,0.9554598356726016,0.962877458898738,5e-05,0.00025
12,15.2376,0.0739277554055055,0.056472202721569276,1.7455553006584524e-06,0.9630606860158312,0.9602474792427135,0.9575317993933217,0.9632905942355043,5e-05,0.00025
13,14.3752,0.08140138081378406,0.06402270468986697,1.737867597108157e-06,0.9525065963060686,0.9498726544757693,0.9453082253133926,0.9565004955479527,5e-05,0.00025
14,15.5859,0.07129558266864883,0.053564898090230094,1.7730684476191527e-06,0.9630606860158312,0.9602390597884508,0.9566104726212543,0.9646611523333422,5e-05,0.00025
15,14.9371,0.07113385879331165,0.05376184657733474,1.7372012558149032e-06,0.9604221635883905,0.9571261450049974,0.9539750994737517,0.9607721957408433,5e-05,0.00025
