phase,epoch,epoch_time_sec,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_groups
phase1,1,24.5984,0.7149301589874739,0.6398416886543535,0.5754641880555705,0.7228995130233679,0.6144400053300421,0.00100000
phase1,2,25.6491,0.4729743305217014,0.8087071240105541,0.7728219496708979,0.801579432576073,0.7996993338740997,0.00100000
phase1,3,26.3018,0.4133601894371965,0.899736147757256,0.881316339563797,0.8757267413604908,0.893556649016455,0.00100000
phase1,4,26.0333,0.33050767206743864,0.8759894459102903,0.8431182183574201,0.8500507944465812,0.8570334924412919,0.00100000
phase1,5,25.3472,0.36003399899836336,0.8825857519788918,0.8647765699393993,0.8654579472168678,0.8812977307216127,0.00100000
phase1,6,24.9893,0.32783744387914626,0.8746701846965699,0.8493794009731486,0.8582571308971157,0.8646757919839494,0.00100000
phase1,7,24.0219,0.30549201670657383,0.8707124010554089,0.8447872479810977,0.8502568497393954,0.8631101646925909,0.00050000
phase1,8,26.8838,0.24405096257837972,0.8720316622691293,0.8562195396983473,0.8512909101819286,0.8782698217411384,0.00050000
phase2,1,25.7031,0.35787709720767613,0.8799472295514512,0.8634050917719568,0.8905766268519306,0.8688932814301072,0.00010000|0.00100000
phase2,2,24.5163,0.24869042576363917,0.9116094986807388,0.8913285860215726,0.9008540063323526,0.8958833130356755,0.00010000|0.00100000
phase2,3,25.7167,0.21919742992587304,0.8984168865435356,0.8766013887427698,0.8783562756539076,0.889009995830626,0.00010000|0.00100000
phase2,4,24.0423,0.20941785900864038,0.9340369393139841,0.9195403992099461,0.9170818256132348,0.9260550986639965,0.00010000|0.00100000
phase2,5,25.2317,0.17787731933836523,0.9010554089709762,0.8857382770448314,0.8829791550039229,0.8987410130902622,0.00010000|0.00100000
phase2,6,25.4432,0.16257898012448227,0.8984168865435356,0.8961504062402245,0.8911697311205792,0.9127920260069736,0.00010000|0.00100000
phase2,7,25.6352,0.13333220635488463,0.924802110817942,0.9168814582607686,0.9126025392901574,0.9270877555218331,0.00010000|0.00100000
phase2,8,26.9011,0.1268828523847578,0.9182058047493403,0.9011322121112538,0.9006279046953367,0.9099959011204438,0.00010000|0.00100000
phase2,9,26.2171,0.11489779312749591,0.9379947229551451,0.926791639535114,0.9194748745861165,0.9389442375216758,0.00010000|0.00100000
phase2,10,26.1915,0.11327246479491253,0.9564643799472295,0.9472044278257965,0.9440864782617802,0.9511576127103393,0.00010000|0.00100000
phase2,11,25.1051,0.08916038336504377,0.9353562005277045,0.9230493914332488,0.9206653989782951,0.9308211514799887,0.00010000|0.00100000
phase2,12,25.7753,0.10899770158091875,0.945910290237467,0.9339057347683685,0.9305357632154676,0.9404587582129478,0.00010000|0.00100000
phase2,13,26.3932,0.08659143198616384,0.9445910290237467,0.9338422784865944,0.9329157076944687,0.9385613461466219,0.00010000|0.00100000
phase2,14,25.6797,0.07370949646960316,0.9287598944591029,0.9202175082370507,0.9144508152940325,0.9301409675081012,0.00010000|0.00100000
phase2,15,26.86,0.0724675085897861,0.9234828496042217,0.9129528340876554,0.9064536648684227,0.9256373952496965,0.00010000|0.00100000
